ticker    ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
MDT       ,Health Care           ,Europe                     ,25          ,15                ,15              ,20                 ,75                           ,C
SCCO      ,Materials             ,United States and Canada   ,25          ,20                ,15              ,20                 ,80                           ,B
COP       ,Energy                ,United States and Canada   ,25          ,20                ,15              ,25                 ,85                           ,B
LMT       ,Industrials           ,United States and Canada   ,25          ,15                ,15              ,0                  ,55                           ,D
CEG       ,Utilities             ,United States and Canada   ,25          ,0                 ,15              ,20                 ,60                           ,D
NORCO     ,Industrials           ,Europe                     ,25          ,25                ,15              ,20                 ,85                           ,B
PH        ,Industrials           ,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
OTL       ,Energy                ,Europe                     ,25          ,0                 ,5               ,20                 ,50                           ,D
NEM       ,Materials             ,United States and Canada   ,25          ,25                ,5               ,25                 ,80                           ,B
BMY       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,0                  ,65                           ,C
CMCSA     ,Communication Services,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
HCA       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,0                  ,65                           ,C
