ticker    ,sector                ,region                     ,rating_score,upside_score,consensus_strength_score,conviction_score  ,pt_momentum_score ,analyst_consensus_score,consensus_grade
SYK       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,65.74712643678161       ,70.0              ,49.99668137276322 ,56.1                   ,C
UNP       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,69.96197718631178       ,55.55555555555556 ,50.02585674590924 ,54.8                   ,C
DE        ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,49.62264150943396       ,56.00000000000001 ,50.00226561087842 ,50.8                   ,C
HON       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,67.65957446808511       ,42.30769230769231 ,49.97416826038511 ,52.4                   ,C
PANW      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,41.73913043478261       ,72.72727272727273 ,50.03292831527809 ,51.8                   ,C
ADBE      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,18.292682926829272      ,40.0              ,49.90220660778343 ,42.1                   ,D
NYT       ,Communication Services,United States and Canada   ,50.0        ,50.0        ,62.04379562043796       ,66.66666666666666 ,50.07211538461538 ,54.9                   ,C
LMT       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,67.5925925925926        ,23.809523809523807,50.0715929179296  ,49.6                   ,D
ETN       ,Industrials           ,Europe                     ,50.0        ,50.0        ,62.22222222222222       ,68.96551724137932 ,49.93181924887221 ,55.3                   ,C
NEM       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,45.21739130434783       ,76.19047619047619 ,50.11134848190587 ,53.0                   ,C
MDT       ,Health Care           ,Europe                     ,50.0        ,50.0        ,75.06726457399103       ,53.57142857142857 ,49.99515474218638 ,55.5                   ,C
CEG       ,Utilities             ,United States and Canada   ,50.0        ,50.0        ,65.90417690417691       ,72.22222222222221 ,50.04746250683251 ,56.5                   ,C
COP       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,69.50672645739911       ,79.3103448275862  ,49.99158          ,58.3                   ,C
AVON      ,Industrials           ,Europe                     ,50.0        ,50.0        ,73.80952380952381       ,57.14285714285714 ,50.0              ,55.8                   ,C
PH        ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,46.224489795918366      ,69.23076923076923 ,50.127819808739126,52.1                   ,C
CRWD      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,38.60869565217391       ,62.962962962962955,50.00202623978262 ,49.7                   ,D
CNR       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,77.67857142857143       ,100.0             ,50.0              ,63.0                   ,C
VRTX      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,42.71844660194175       ,59.99999999999999 ,50.05577347389065 ,50.0                   ,C
ARM       ,Information Technology,Europe                     ,50.0        ,50.0        ,20.588235294117652      ,46.15384615384615 ,49.91814165482449 ,43.5                   ,D
BMY       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,46.55172413793104       ,26.923076923076923,50.12872038265471 ,45.9                   ,D
SPOT      ,Communication Services,Europe                     ,50.0        ,50.0        ,47.671461107837196      ,70.73170731707317 ,49.96995423744022 ,52.6                   ,C
HCA       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,68.6                    ,52.0              ,50.03548690115854 ,54.0                   ,C
WK        ,Information Technology,United States and Canada   ,50.0        ,50.0        ,83.80952380952381       ,100.0             ,49.993835360149674,64.3                   ,C
MELI      ,Consumer Discretionary,Latin America and Caribbean,50.0        ,50.0        ,54.03508771929825       ,88.46153846153845 ,49.98010972392854 ,56.6                   ,C
ADP       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,65.42372881355932       ,0.0               ,49.984816741884956,45.6                   ,D
ABS       ,Information Technology,Europe                     ,50.0        ,50.0        ,100.0                   ,50.0              ,50.0              ,60.0                   ,C
CMCSA     ,Communication Services,United States and Canada   ,50.0        ,50.0        ,39.13043478260869       ,24.13793103448276 ,49.951501551834745,43.9                   ,D
SBUX      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,49.473684210526315      ,38.888888888888886,50.013697852083375,48.2                   ,D
CVS       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,72.63157894736841       ,85.18518518518519 ,50.019100169779286,59.8                   ,C
CVNA      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,41.62162162162162       ,68.0              ,50.14203745071916 ,51.0                   ,C
PEY       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,71.42857142857143       ,63.63636363636363 ,50.08789268112424 ,56.3                   ,C
MCK       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,75.0                    ,70.58823529411765 ,50.0              ,58.1                   ,C
ENB       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,74.64788732394366       ,43.47826086956522 ,49.99665125493518 ,54.0                   ,C
MO        ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,58.4                    ,26.666666666666664,50.0              ,48.2                   ,D
AEM       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,12.060301507537687      ,75.0              ,50.006342495787315,46.2                   ,D
EDR       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,49.57983193277311       ,100.0             ,49.98679686164251 ,57.4                   ,C
NKE       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,0.0                     ,53.846153846153854,49.8172753175871  ,40.6                   ,D
GD        ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,68.16431322207958       ,47.826086956521735,50.03023548111851 ,53.3                   ,C
ENEA      ,Information Technology,Europe                     ,50.0        ,50.0        ,100.0                   ,50.0              ,50.0              ,60.0                   ,C
SNPS      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,59.45945945945946       ,72.0              ,49.98796551887653 ,55.2                   ,C
