ticker    ,sector                ,region                     ,current_ratio_score,quick_ratio_score,cash_ratio_score,debt_equity_score  ,debt_assets_score   ,interest_coverage_score,leverage_liquidity_score,leverage_grade
TJX       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,49.25136026053457  ,49.691328860751526  ,0.0                    ,39.8                    ,D
NEE       ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,54.2345125230717   ,45.06794850218782   ,0.0                    ,39.9                    ,D
TXN       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,71.64803092153267  ,49.38959137120167   ,0.0                    ,44.2                    ,D
QCOM      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,75.4110471879028   ,61.00402847855134   ,0.0                    ,47.3                    ,D
DHR       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,88.46552304069964  ,72.36014031105724   ,0.0                    ,52.2                    ,C
T         ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,59.754626741526295 ,54.04102128953001   ,0.0                    ,42.8                    ,D
BKNG      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,22.24267359607335   ,0.0                    ,44.4                    ,D
VZ        ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,43.09553401275996  ,44.21299364977867   ,0.0                    ,37.5                    ,D
ANET      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,99.80109676922324  ,99.46916530427401   ,50.0                   ,69.9                    ,B
LOW       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,0.0                 ,0.0                    ,40.0                    ,D
GILD      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,52.679344625723104 ,42.10950080515299   ,0.0                    ,39.0                    ,D
INTU      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,88.77219685438864  ,77.5454570052492    ,0.0                    ,53.3                    ,C
PDD       ,Consumer Discretionary,Europe                     ,50.0               ,50.0             ,50.0            ,98.871509678748    ,97.37465216485197   ,50.0                   ,69.2                    ,B
SCCO      ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,74.7508533408384   ,53.257674940550935  ,0.0                    ,45.6                    ,D
ADI       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,91.1667787939052   ,76.66036154240925   ,0.0                    ,53.6                    ,C
PFE       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,74.60629550530903  ,60.50886614556974   ,0.0                    ,47.0                    ,D
DE        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,17.194088770971916 ,23.810804181289857  ,0.0                    ,28.2                    ,F
HON       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,43.939947462728114 ,46.431658598861645  ,0.0                    ,38.1                    ,D
SYK       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.18975154276114  ,58.9257871587815    ,0.0                    ,47.2                    ,D
UNP       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,35.93250444049734  ,40.074208077973864  ,0.0                    ,35.2                    ,D
LMT       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,51.862739809770396  ,0.0                    ,30.4                    ,F
ETN       ,Industrials           ,Europe                     ,50.0               ,50.0             ,50.0            ,82.03910564279676  ,67.48065449050311   ,0.0                    ,49.9                    ,D
NOW       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,92.09768619696813  ,86.03002502085072   ,0.0                    ,55.6                    ,C
PANW      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,98.22180188470256  ,97.78696312382826   ,0.0                    ,59.2                    ,C
BSX       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,82.99019830629156  ,64.37365147861404   ,0.0                    ,49.5                    ,D
NEM       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,89.9708835674826   ,79.90425739587216   ,0.0                    ,54.0                    ,C
