ticker    ,sector                ,region                     ,upside_score       ,spread_score        ,coverage_score,rating_score,price_target_score,price_target_grade
ENB       ,Energy                ,United States and Canada   ,41.6437459070072   ,72.79734018437358   ,70.0          ,69.5        ,60.7              ,C
MCK       ,Health Care           ,United States and Canada   ,46.75719909996378  ,71.44420912357519   ,50.0          ,82.25       ,60.7              ,C
MO        ,Consumer Staples      ,United States and Canada   ,34.81451496833622  ,57.90155440414508   ,40.0          ,61.75       ,47.0              ,D
CMCSA     ,Communication Services,United States and Canada   ,57.2485821551242   ,24.514737598849745  ,80.0          ,61.25       ,54.4              ,C
CVS       ,Health Care           ,United States and Canada   ,56.460277070964096 ,66.92111959287533   ,83.33333      ,87.0        ,70.6              ,B
AEM       ,Materials             ,United States and Canada   ,35.62070983278194  ,10.877050840591451  ,36.666668     ,81.25       ,38.8              ,D
GD        ,Industrials           ,United States and Canada   ,39.67735496397917  ,73.5968207305787    ,66.66667      ,70.75       ,59.8              ,C
SNPS      ,Information Technology,United States and Canada   ,41.45584371146534  ,56.42152970114853   ,83.33333      ,84.0        ,62.1              ,C
CVNA      ,Consumer Discretionary,United States and Canada   ,42.15918436942086  ,39.06842390323163   ,73.333336     ,78.0        ,54.8              ,C
SO        ,Utilities             ,United States and Canada   ,42.1134858142732   ,64.00449943757029   ,66.66667      ,56.5        ,55.4              ,C
NKE       ,Consumer Discretionary,United States and Canada   ,55.06144075109594  ,0.0                 ,100.0         ,74.25       ,54.1              ,C
NOC       ,Industrials           ,United States and Canada   ,34.66873261025309  ,69.86054880791724   ,70.0          ,72.75       ,58.1              ,C
DUK       ,Utilities             ,United States and Canada   ,48.47862961098995  ,79.03036403288039   ,56.666668     ,71.5        ,62.4              ,C
UPS       ,Industrials           ,United States and Canada   ,31.75661771583575  ,50.42559161911888   ,93.333336     ,67.5        ,55.9              ,C
HWM       ,Industrials           ,United States and Canada   ,43.26707871996681  ,57.72155275912667   ,66.66667      ,89.25001    ,60.8              ,C
MMM       ,Industrials           ,United States and Canada   ,38.703482982386426 ,39.21334922526818   ,56.666668     ,70.75       ,48.8              ,D
WM        ,Industrials           ,United States and Canada   ,46.97926240664568  ,60.67441124621433   ,83.33333      ,82.50001    ,64.8              ,C
DASH      ,Consumer Discretionary,United States and Canada   ,72.1224321925666   ,24.508084940580556  ,100.0         ,84.75       ,68.3              ,B
SHW       ,Materials             ,United States and Canada   ,42.464950768055594 ,55.56549199340468   ,70.0          ,77.75       ,58.3              ,C
MAR       ,Consumer Discretionary,United States and Canada   ,28.832699153062485 ,52.4364796857739    ,83.33333      ,68.5        ,53.6              ,C
CDNS      ,Information Technology,United States and Canada   ,55.69002992597261  ,57.47361789258151   ,86.666664     ,85.5        ,68.3              ,B
TT        ,Industrials           ,Europe                     ,58.03367020654521  ,55.07406361512592   ,63.333332     ,66.75       ,60.1              ,C
FCX       ,Materials             ,United States and Canada   ,29.42523514828063  ,26.758644183273717  ,66.66667      ,80.99999    ,46.5              ,D
EMR       ,Industrials           ,United States and Canada   ,37.02068186211099  ,51.82657567242072   ,93.333336     ,79.25       ,60.4              ,C
ELV       ,Health Care           ,United States and Canada   ,39.181286549707615 ,50.11604022727878   ,66.66667      ,78.5        ,55.3              ,C
CRH       ,Materials             ,Europe                     ,49.02595935774761  ,44.70195982760023   ,80.0          ,85.5        ,61.4              ,C
ABX       ,Materials             ,United States and Canada   ,34.15072691809674  ,23.362590352559376  ,33.333336     ,83.00001    ,41.1              ,D
TDG       ,Industrials           ,United States and Canada   ,45.94052107279693  ,57.655172413793096  ,70.0          ,85.25       ,61.5              ,C
GLW       ,Information Technology,United States and Canada   ,35.36577022882756  ,46.92144373673036   ,43.333332     ,84.0        ,49.6              ,D
ORLY      ,Consumer Discretionary,United States and Canada   ,50.1583949313622   ,35.58606124604011   ,83.33333      ,84.75       ,60.1              ,C
CMI       ,Industrials           ,United States and Canada   ,27.78785366359206  ,64.93591736622102   ,66.66667      ,70.75       ,53.4              ,C
DELL      ,Information Technology,United States and Canada   ,71.9634576914922   ,27.818800298680824  ,76.666664     ,80.75       ,63.6              ,C
ABNB      ,Consumer Discretionary,United States and Canada   ,44.021463680119744 ,42.59911219960202   ,100.0         ,64.0        ,58.9              ,C
ECL       ,Materials             ,United States and Canada   ,40.50456563323348  ,70.4045908976071    ,70.0          ,74.0        ,60.6              ,C
CTAS      ,Industrials           ,United States and Canada   ,45.47686464481062  ,57.527376931736775  ,60.000004     ,62.5        ,54.8              ,C
ITW       ,Industrials           ,United States and Canada   ,32.75266422911315  ,68.49736212851558   ,53.333336     ,40.249996   ,47.3              ,D
MNST      ,Consumer Staples      ,United States and Canada   ,35.25762938325301  ,61.62210566713573   ,70.0          ,75.0        ,56.7              ,C
REGN      ,Health Care           ,United States and Canada   ,47.42965367965368  ,41.749427043544685  ,86.666664     ,82.75       ,60.9              ,C
GM        ,Consumer Discretionary,United States and Canada   ,37.8197090929088   ,23.286315268497894  ,80.0          ,75.0        ,50.1              ,C
WDC       ,Information Technology,United States and Canada   ,25.21897682071038  ,36.34598889440657   ,80.0          ,85.25       ,51.0              ,C
