ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
4017      ,Health Care           ,Africa / Middle East       ,53.22826639552619 ,0.0                 ,50.0            ,89.1759126261541   ,0.0         ,36.7                         ,D
KLAC      ,Information Technology,United States and Canada   ,89.62795308325757 ,80.63444800732937   ,50.0            ,56.75123514013647  ,68.0        ,71.3                         ,B
BA        ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,4.0         ,63.1                         ,C
LOCAL     ,Communication Services,Europe                     ,50.0              ,50.0                ,50.0            ,100.0              ,4.0         ,50.6                         ,C
APH       ,Information Technology,United States and Canada   ,89.23984166733985 ,89.01151151151151   ,50.0            ,75.37836128556596  ,60.000004   ,74.9                         ,B
UBER      ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,83.03968677700658  ,0.0         ,60.0                         ,C
GEV       ,Industrials           ,United States and Canada   ,93.03752337643118 ,100.0               ,50.0            ,96.6613172220649   ,0.0         ,72.8                         ,B
QCOM      ,Information Technology,United States and Canada   ,85.69441311376795 ,67.3850197109067    ,50.0            ,75.4110471879028   ,84.0        ,72.2                         ,B
TJX       ,Consumer Discretionary,United States and Canada   ,82.48681383082634 ,49.28053541550474   ,50.0            ,49.25136026053457  ,100.0       ,65.3                         ,B
RDF       ,Information Technology,Europe                     ,50.0              ,50.0                ,50.0            ,60.13664433057417  ,0.0         ,44.0                         ,D
AMGN      ,Health Care           ,United States and Canada   ,78.69267798327843 ,45.73523583036068   ,50.0            ,0.0                ,52.0        ,48.9                         ,D
BKNG      ,Consumer Discretionary,United States and Canada   ,91.52542372881356 ,100.0               ,50.0            ,100.0              ,4.0         ,73.5                         ,B
ALEFEDT   ,Consumer Discretionary,Africa / Middle East       ,50.0              ,32.67818574514039   ,50.0            ,99.720674901106    ,0.0         ,45.6                         ,D
TXN       ,Information Technology,United States and Canada   ,51.63393071797569 ,8.405738533036978   ,50.0            ,71.64803092153267  ,92.0        ,49.6                         ,D
ACN       ,Information Technology,Europe                     ,77.3816488932121  ,60.89386834247145   ,50.0            ,91.53988439760549  ,28.0        ,62.5                         ,C
NEE       ,Utilities             ,United States and Canada   ,70.18966644865925 ,0.0                 ,50.0            ,54.2345125230717   ,100.0       ,50.7                         ,C
INTU      ,Information Technology,United States and Canada   ,89.6005393561436  ,100.0               ,50.0            ,88.77219685438864  ,52.0        ,78.5                         ,B
LAT       ,Industrials           ,Europe                     ,50.0              ,50.0                ,50.0            ,0.0                ,4.0         ,35.6                         ,D
DHR       ,Health Care           ,United States and Canada   ,92.3787483151365  ,100.0               ,50.0            ,88.46552304069964  ,12.0        ,73.2                         ,B
