ticker     ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
SOMA       ,Energy                ,Europe                     ,0           ,0                 ,0               ,0                  ,0                            ,
PAT        ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SDG        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PSAN       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AGR        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GBG        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CWC        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MMGRB      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
DFDS       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ELIOR      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
EMILB      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
RPI        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CRE        ,Financials            ,Latin America and Caribbean,0           ,5                 ,0               ,25                 ,30                           ,F
BWO        ,Energy                ,Latin America and Caribbean,0           ,0                 ,0               ,0                  ,0                            ,
TNXT       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
VIRI       ,Energy                ,Europe                     ,0           ,0                 ,0               ,0                  ,0                            ,
INH        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
EAT        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ZV         ,Materials             ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
MGAM       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AKBM       ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SATS       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SFQ        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GLJ        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
CHRY       ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
LOGIA      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
SDIPB      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
DSCV       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
XFAB       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ABS        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
