ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap   ,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_mv,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
TT        ,Trane Technologies plc                                                                 ,Building Products                                    ,Europe                     ,94476.34     ,4                ,0.9017383106971976   ,51.45978251204407 ,100.0              ,1.2176575187169467 ,13.657073873593207   ,100                    ,2.975877346645732  ,1.012326656394453    ,-1.2326656394453004    ,0.0                ,0                      ,56.43948192469973  ,6.467104012169614    ,75.07353881570533     ,0                      ,-1092.8                ,0.0                ,0.0                 ,1.1661429693637078 ,3.345925526173772  ,1.3662190082644627,0                   ,276.0                 ,1                   ,1.2884732991919032,0.206292064485835      ,1.38768115942029    ,2.6932292612089306
WDC       ,Western Digital Corporation                                                            ,Technology Hardware Storage and Peripherals          ,United States and Canada   ,95188.18     ,6                ,4.0606896366780285   ,45.29143905292938 ,100.0              ,3.2620122113087335 ,-336.7167919799499   ,50                     ,2.0380681719095795 ,1.0373961218836565   ,-3.7396121883656503    ,10.132332609125024 ,1                      ,84.55762514551805  ,4.316582914572864    ,70.60650645741376     ,0                      ,1569.0                 ,58.16532258064516  ,0.0                 ,0.6029096946131329 ,-15.400410677618067,0.3655849358974358,1                   ,0.0                   ,0                   ,0.0               ,0.1670244740231859     ,                    ,-7.151950718685832
MXL       ,MaxLinear Inc.                                                                         ,Semiconductors and Semiconductor Equipment           ,United States and Canada   ,1683.67      ,4                ,-0.295070948537271   ,42.873856000820794,0.0                ,2.4460966542750926 ,235.2016404647984    ,0                      ,-1.764597575534398 ,1.0                  ,0.0                    ,49.174480950468855 ,1                      ,170.44652999404988 ,2.1414340322020156   ,68.55378391754353     ,0                      ,94.07                  ,-34.07386642371575 ,0.0                 ,1.2769890168765068 ,31.44981412639405  ,0.939344262295082 ,0                   ,0.0                   ,0                   ,0.0               ,0.5947396672034353     ,                    ,-12.429211804258498
SNDR      ,Schneider National Inc.                                                                ,Ground Transportation                                ,United States and Canada   ,5208.15      ,9                ,0.1213199526687773   ,50.65008996628471 ,100.0              ,0.4284137728075338 ,-50.94339622641509   ,50                     ,2.1888770484721065 ,1.0                  ,0.0                    ,0.0                ,0                      ,7.936484110305786  ,45.99013806706114    ,11.218139688844753    ,0                      ,2353.9                 ,-5.145873629916183 ,0.0                 ,1.4569640062597808 ,-33.221892025755324,1.09229576008273  ,0                   ,393.2                 ,1                   ,7.89716810604539  ,1.428944538331541      ,1.3654628687690744  ,-0.1988929184958961
CNX       ,CNX Resources Corporation                                                              ,Oil Gas and Consumable Fuels                         ,United States and Canada   ,5069.71      ,4                ,0.9516964885310408   ,59.67271222750987 ,0.0                ,0.0069425386252883 ,-799.7016244888938   ,100                    ,10.532555116564852 ,1.0                  ,0.0                    ,0.0                ,0                      ,17.25021195230622  ,21.159160305343512   ,7.454657806512306     ,0                      ,3956.37                ,0.0                ,0.0                 ,1.2316068275456151 ,-8.39116836007625  ,1.2903965670316662,0                   ,517.6                 ,0                   ,5.691383206241169 ,0.984090732389986      ,0.9563176197836166  ,1.6532119260451945
APPF      ,AppFolio Inc.                                                                          ,Software                                             ,United States and Canada   ,7439.32      ,5                ,0.2713820543652907   ,49.55466271730962 ,100.0              ,1.180773060559428  ,7458.148148148147    ,100                    ,2.8450180930515154 ,1.0                  ,0.0                    ,20.607090445663086 ,1                      ,0.0                ,                     ,19.32567602782288     ,0                      ,349.39                 ,-2.511230782108876 ,0.0                 ,1.4315408947130592 ,-77.65486725663715 ,0.8701298701298701,0                   ,78.33                 ,0                   ,12.23008103424048 ,0.3761231748408835     ,0.0260436614324013  ,19.220132743362832
ALGM      ,Allegro MicroSystems Inc.                                                              ,Semiconductors and Semiconductor Equipment           ,United States and Canada   ,7030.82      ,8                ,0.4250906019348783   ,54.145891265338335,100.0              ,2.2346376759422584 ,-147.8127046496398   ,75                     ,1.7232698319683906 ,1.0                  ,0.0                    ,23.257475617162655 ,1                      ,141.14748583953644 ,2.5859475840395083   ,21.099947117927023    ,0                      ,514.4                  ,10.63317274604267  ,0.0                 ,1.0271451575799402 ,-67.98108519676204 ,0.2415005861664712,1                   ,0.0                   ,1                   ,0.0               ,0.1797440931555074     ,                    ,-0.6086809660530315
TAL       ,TAL Education Group                                                                    ,Diversified Consumer Services                        ,Asia / Pacific             ,7727.53      ,7                ,0.0565446717275768   ,54.7020557916037  ,72.5               ,9.79599195195515   ,-2469.4677871148456  ,75                     ,6.190464482182534  ,1.0                  ,0.0                    ,0.0                ,0                      ,39.643078069980646 ,9.207155896312521    ,1.306221846203096     ,0                      ,3221.12                ,-10.117225541271704,0.0                 ,0.9043283223411924 ,-0.8958665957069363,0.0               ,1                   ,0.08                  ,0                   ,0.0013514449480453,0.1894763599389933     ,1396.625            ,6.739311690615576
EMN       ,Eastman Chemical Company                                                               ,Chemicals                                            ,United States and Canada   ,7866.17      ,5                ,-0.2492010154239136  ,53.79216191207031 ,65.83333333333333  ,0.7480877103518612 ,1.2304250559284116   ,100                    ,5.0215034762788    ,1.0                  ,0.0                    ,2.914450354609929  ,0                      ,101.55199655271473 ,3.5942178626742383   ,62.72462775971248     ,0                      ,1098.0                 ,-1.5246636771300448,0.0                 ,0.9669768290457944 ,-27.657004830917877,0.8951323097027115,0                   ,0.0                   ,1                   ,0.0               ,0.6081349206349206     ,                    ,0.1900552486187845
EXP       ,Eagle Materials Inc.                                                                   ,Construction Materials                               ,United States and Canada   ,6796.58      ,3                ,0.2536017672722613   ,56.926995930710966,100.0              ,2.898650985818056  ,-2.9771375931664013  ,25                     ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,85.19691915822669  ,4.284192475576803    ,0.0                   ,0                      ,905.61                 ,5.1872931064521755 ,0.0                 ,1.5713350785340314 ,62.31402210955033  ,0.0               ,1                   ,0.0                   ,1                   ,0.0               ,                       ,                    ,0.0069000912408759
