category                 ,feature                     ,count,mean                  ,median              ,std                   ,min                ,q25                  ,q75                  ,max               ,positive_pct        ,missing_pct
Momentum & Technical     ,price_momentum_6m           ,6370 ,21.535848538642952    ,8.20943324660247    ,62.41106597590096     ,-97.65448075056618 ,-8.110248506500565   ,31.82597816696644    ,1764.6408839779003,63.249607535321815  ,0.747896540978498
Momentum & Technical     ,price_momentum_1y           ,6055 ,36.028442201764236    ,14.263785570905656  ,92.42926085544367     ,-97.64150943396226 ,-8.764519583123821   ,49.983628028814664   ,1907.0            ,65.61519405450042   ,5.65596759114989
Momentum & Technical     ,price_momentum_5d           ,6409 ,-0.23730992635048398  ,-0.686641697877653  ,6.578253292685095     ,-36.510263929618766,-3.6733018674327926  ,2.352941176470588    ,62.41737488196412 ,42.23747854579498   ,0.14023060143346838
Momentum & Technical     ,price_momentum_3y           ,5249 ,88.8882822568548      ,24.5605223505776    ,264.8349509384715     ,-99.98054841473864 ,-17.63959390862944   ,93.49164467897975    ,5401.158301158301 ,63.57401409792342   ,18.214397008413837
Momentum & Technical     ,price_momentum_5y           ,5479 ,129.70146964937317    ,32.6530612244898    ,458.7711167158152     ,-99.99189285714284 ,-22.979089247507428  ,134.93541022563232   ,10638.255033557047,63.350976455557586  ,14.630726082891869
Momentum & Technical     ,ema_crossover_20_50         ,6418 ,0.3427859146151449    ,1.0                 ,0.938490974383353     ,-1.0               ,-1.0                 ,1.0                  ,1.0               ,67.04580866313493   ,0.0
Momentum & Technical     ,ema_crossover_50_250        ,6418 ,0.3069492053599252    ,1.0                 ,0.9425867069316748    ,-1.0               ,-1.0                 ,1.0                  ,1.0               ,64.47491430352135   ,0.0
Momentum & Technical     ,price_vs_ema_20d            ,6416 ,0.012111493542891488  ,0.0048894221457497  ,0.06461060143123216   ,-0.301116921686358 ,-0.02313481918456625 ,0.04040626906173765  ,0.5062042565223538,55.003117206982544  ,0.03116235587410408
Momentum & Technical     ,price_vs_ema_250d           ,6307 ,0.12226388120009497   ,0.0738690909997653  ,0.2847455760174892    ,-0.9563522523742868,-0.0449978866728528  ,0.22581855127503045  ,3.3759536161122976,65.75233867131757   ,1.7295107510127767
Momentum & Technical     ,price_vs_ema_100d           ,6380 ,6.19370276584471      ,3.697624111321838   ,16.68169954192205     ,-90.06917334429149 ,-3.3831709885640726  ,12.748293184067233   ,200.37704231252616,63.82445141065831   ,0.5920847616079775
Momentum & Technical     ,pct_off_52w_high            ,6418 ,-0.8285952999586127   ,-0.8732972843714863 ,0.15138532216089787   ,-1.0               ,-0.9454363940838242  ,-0.7492490427854306  ,0.0               ,0.0                 ,0.0
Momentum & Technical     ,pct_above_52w_low           ,6416 ,-0.15196160918772278  ,-0.5354256600742897 ,1.4044982096400094    ,-1.0               ,-0.8001626021004759  ,-0.024727485602502274,44.3632307005801  ,24.22069825436409   ,0.03116235587410408
Momentum & Technical     ,range_52w_position          ,6418 ,0.6132919083825036    ,0.6894721233951875  ,0.3022004750463126    ,0.0                ,0.3713184331000099   ,0.8834191963395993   ,1.0               ,99.73511997507012   ,0.0
Momentum & Technical     ,beta_momentum               ,6059 ,0.053470869780491835  ,0.02                ,0.700570077209718     ,-9.33              ,-0.31                ,0.39                 ,15.41             ,51.3451064532101    ,5.593642879401683
Momentum & Technical     ,volatility_regime           ,6413 ,0.9205415486507622    ,0.8746134382906944  ,0.30836610620473004   ,0.0                ,0.7266177451634422   ,1.0660643704121964   ,3.160842586544742 ,99.92203336971775   ,0.0779058896852602
Momentum & Technical     ,ema_slope_20d               ,6406 ,0.020969665333153486  ,0.015610028342583699,0.052674863772372627  ,-0.6265350044309406,-0.008529295142233526,0.043645351704198476 ,0.5013782358581016,67.17140181080238   ,0.1869741352446245
Momentum & Technical     ,ema_trend_consistency       ,6418 ,0.3105328762854472    ,0.0                 ,0.7695413286905001    ,-1.0               ,0.0                  ,1.0                  ,1.0               ,49.95325646618885   ,0.0
Momentum & Technical     ,near_52w_high_flag          ,6418 ,0.23153630414459334   ,0.0                 ,0.4218470949152206    ,0.0                ,0.0                  ,0.0                  ,1.0               ,23.153630414459332  ,0.0
Momentum & Technical     ,near_52w_low_flag           ,6418 ,0.06777812402617638   ,0.0                 ,0.2513843597248267    ,0.0                ,0.0                  ,0.0                  ,1.0               ,6.777812402617638   ,0.0
Momentum & Technical     ,volume_momentum_score       ,6409 ,0.07857912154782336   ,0.0325              ,0.2556268966526264    ,-1.773             ,-0.02742             ,0.13194              ,5.97192           ,63.92572944297083   ,0.14023060143346838
Momentum & Technical     ,breakout_signal             ,6418 ,0.2282642567778124    ,0.0                 ,0.4197465162296666    ,0.0                ,0.0                  ,0.0                  ,1.0               ,22.82642567778124   ,0.0
Momentum & Technical     ,high_volume_flag            ,6418 ,0.19881583047678406   ,0.0                 ,0.399140224555199     ,0.0                ,0.0                  ,0.0                  ,1.0               ,19.881583047678404  ,0.0
Momentum & Technical     ,low_volume_flag             ,6418 ,0.05297600498597694   ,0.0                 ,0.22400304932388723   ,0.0                ,0.0                  ,0.0                  ,1.0               ,5.297600498597694   ,0.0
Momentum & Technical     ,volatility_compression      ,6413 ,4.831119600810853     ,4.22                ,51.27417180345241     ,-396.99            ,-2.3                 ,10.61                ,3708.51           ,67.79978169343521   ,0.0779058896852602
Momentum & Technical     ,volatility_term_structure   ,6416 ,-1.0656125311720699   ,-0.1                ,13.083616751871789    ,-610.91            ,-3.62                ,2.7                  ,223.95            ,48.4569825436409    ,0.03116235587410408
Momentum & Technical     ,long_term_trend_score       ,6418 ,0.6094972846330532    ,0.2172430189140751  ,1.565204622551267     ,-0.9646898930046104,-0.053875145520999576,0.7052360102870455   ,28.47651006711409 ,68.43253349953257   ,0.0
Momentum & Technical     ,multi_year_high_flag        ,6418 ,0.3116235587410408    ,0.0                 ,0.46319298941649323   ,0.0                ,0.0                  ,1.0                  ,1.0               ,31.16235587410408   ,0.0
Momentum & Technical     ,secular_trend_flag          ,6418 ,0.3153630414459333    ,0.0                 ,0.464696503079206     ,0.0                ,0.0                  ,1.0                  ,1.0               ,31.53630414459333   ,0.0
Profitability            ,roe                         ,5975 ,0.08863867782426778   ,0.0999              ,1.3058276570877667    ,-36.4663           ,0.02815              ,0.1789               ,86.042            ,80.56903765690376   ,6.902461826114053
Profitability            ,roa                         ,6071 ,0.037160583099983525  ,0.042               ,0.10326529505449175   ,-2.3903            ,0.0187               ,0.07075000000000001  ,1.5083            ,85.88370943831329   ,5.4066687441570584
Profitability            ,gross_margin_pct            ,6241 ,0.3891339048229451    ,0.3581              ,0.2781024865638045    ,-2.7736            ,0.2173               ,0.5428               ,6.6925            ,98.55792340970999   ,2.757868494858211
Profitability            ,operating_margin_pct        ,6300 ,-63.62365046130783    ,9.954211183866223   ,1605.5600577105877    ,-87722.22222222222 ,4.214085710425209    ,18.362148460188713   ,28886.567164179105,87.42857142857143   ,1.8385789965721409
Profitability            ,net_margin_pct              ,6159 ,1.2158530767981812    ,0.0662              ,89.14277626150461     ,-2.9561            ,0.0176               ,0.1328               ,6995.4401         ,82.44844942360773   ,4.035525085696479
Profitability            ,ebitda_margin_pct           ,6300 ,-51.18992858719352    ,14.760986210894707  ,1558.704372120968     ,-86500.0           ,7.654048303828798    ,24.799145764064065   ,28801.492537313432,91.28571428571428   ,1.8385789965721409
Profitability            ,ebitda_margin_ltm           ,6300 ,-51.18992858719352    ,14.760986210894707  ,1558.704372120968     ,-86500.0           ,7.654048303828798    ,24.799145764064065   ,28801.492537313432,91.28571428571428   ,1.8385789965721409
