"Date"   ;"D0";"D1"    ;"Value"
"2019-04";"M1";"CZK100";"4.44647"
"2019-04";"M1";"HUF100";"0.35339"
"2019-04";"M1";"PLN100";"26.59658"
"2019-04";"M1";"RUB1"  ;"0.01578"
"2019-04";"M1";"SEK100";"10.73854"
"2019-04";"M1";"TRY100";"17.06154"
"2019-04";"M1";"USD1"  ;"1.01825"
"2019-04";"M1";"CAD1"  ;"0.75687"
"2019-04";"M1";"ARS1"  ;"0.023"
"2019-04";"M1";"BRL100";"25.82556"
"2019-04";"M1";"MXN100";"5.3511"
"2019-04";"M1";"ZAR1"  ;"0.07103"
"2019-04";"M1";"JPY100";"0.91421"
"2019-04";"M1";"AUD1"  ;"0.71822"
"2019-04";"M1";"CNY100";"15.1125"
"2019-04";"M1";"HKD100";"12.9801"
"2019-04";"M1";"KRW100";"0.08718"
"2019-04";"M1";"MYR100";"24.6186"
"2019-04";"M1";"NZD1"  ;"0.67958"
"2019-04";"M1";"SGD1"  ;"0.74822"
"2019-04";"M1";"THB100";"3.18911"
"2019-04";"M1";"XDR1"  ;"1.4113"
"2019-05";"M0";"EUR1"  ;"1.13077"
"2019-05";"M0";"GBP1"  ;"1.29894"
"2019-05";"M0";"DKK100";"15.14356"
"2019-05";"M0";"NOK100";"11.56228"
"2019-05";"M0";"CZK100";"4.38903"
"2019-05";"M0";"HUF100";"0.34777"
"2019-05";"M0";"PLN100";"26.31042"
"2019-05";"M0";"RUB1"  ;"0.01557"
"2019-05";"M0";"SEK100";"10.52733"
"2019-05";"M0";"TRY100";"16.66652"
"2019-05";"M0";"USD1"  ;"1.01077"
"2019-05";"M0";"CAD1"  ;"0.75102"
"2019-05";"M0";"ARS1"  ;"0.02255"
"2019-05";"M0";"BRL100";"25.27666"
"2019-05";"M0";"MXN100";"5.28445"
"2019-05";"M0";"ZAR1"  ;"0.07007"
"2019-05";"M0";"JPY100";"0.91933"
"2019-05";"M0";"AUD1"  ;"0.70181"
"2019-05";"M0";"CNY100";"14.74244"
"2019-05";"M0";"HKD100";"12.87911"
"2019-05";"M0";"KRW100";"0.08536"
"2019-05";"M0";"MYR100";"24.23625"
"2019-05";"M0";"NZD1"  ;"0.6632"
"2019-05";"M0";"SGD1"  ;"0.73728"
"2019-05";"M0";"THB100";"3.17917"
"2019-05";"M0";"XDR1"  ;"1.39681"
"2019-05";"M0";"USD3M" ;"1.0022"
"2019-05";"M0";"USD6M" ;"0.9938"
"2019-05";"M1";"EUR1"  ;"1.12076"
"2019-05";"M1";"GBP1"  ;"1.26824"
"2019-05";"M1";"DKK100";"15.00728"
"2019-05";"M1";"NOK100";"11.45028"
"2019-05";"M1";"CZK100";"4.33745"
"2019-05";"M1";"HUF100";"0.34497"
"2019-05";"M1";"PLN100";"26.11576"
"2019-05";"M1";"RUB1"  ;"0.01534"
"2019-05";"M1";"SEK100";"10.52626"
"2019-05";"M1";"TRY100";"17.06704"
"2019-05";"M1";"USD1"  ;"1.0053"
"2019-05";"M1";"CAD1"  ;"0.74263"
"2019-05";"M1";"ARS1"  ;"0.0226"
"2019-05";"M1";"BRL100";"25.24991"
"2019-05";"M1";"MXN100";"5.1031"
"2019-05";"M1";"ZAR1"  ;"0.06795"
"2019-05";"M1";"JPY100";"0.92403"
"2019-05";"M1";"AUD1"  ;"0.69542"
"2019-05";"M1";"CNY100";"14.5664"
"2019-05";"M1";"HKD100";"12.81649"
"2019-05";"M1";"KRW100";"0.08443"
"2019-05";"M1";"MYR100";"23.99112"
"2019-05";"M1";"NZD1"  ;"0.65525"
"2019-05";"M1";"SGD1"  ;"0.72975"
"2019-05";"M1";"THB100";"3.1759"
"2019-05";"M1";"XDR1"  ;"1.3847"
"2019-06";"M0";"EUR1"  ;"1.1165"
"2019-06";"M0";"GBP1"  ;"1.25329"
"2019-06";"M0";"DKK100";"14.95301"
"2019-06";"M0";"NOK100";"11.45662"
"2019-06";"M0";"CZK100";"4.36008"
"2019-06";"M0";"HUF100";"0.34592"
"2019-06";"M0";"PLN100";"26.17883"
"2019-06";"M0";"RUB1"  ;"0.01543"
"2019-06";"M0";"SEK100";"10.51128"
"2019-06";"M0";"TRY100";"17.02132"
"2019-06";"M0";"USD1"  ;"0.9889"
"2019-06";"M0";"CAD1"  ;"0.74361"
"2019-06";"M0";"ARS1"  ;"0.02257"
"2019-06";"M0";"BRL100";"25.60378"
"2019-06";"M0";"MXN100";"5.12834"
"2019-06";"M0";"ZAR1"  ;"0.06787"
"2019-06";"M0";"JPY100";"0.91527"
"2019-06";"M0";"AUD1"  ;"0.68653"
"2019-06";"M0";"CNY100";"14.33237"
