ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
FGR,Eiffage SA,Europe,FR,ENXTPA,Industrials,Construction and Engineering,142.8,145.0,56.0,1.5516013518665743,8.008986317228079,-11.814113061863672,57.338,0.19373255121299618,145.0156867304655
LATOB,Investment AB Latour (publ),Europe,SE,OM,Industrials,Industrial Conglomerates,224.9,274.0,52.0,21.848203274160074,4.704847909201568,13.995799590547033,100.0,4.643763984682727,274.03660916358604
WKL,Wolters Kluwer N.V.,Europe,NL,ENXTAM,Industrials,Professional Services,59.68,140.0,110.0,120.95930102967027,37.95104119447917,53.90671382679295,100.0,3.1872459153312116,131.86851085450724
BEIJB,Beijer Ref AB (publ),Europe,SE,OM,Industrials,Trading Companies and Distributors,135.25,175.0,52.0,27.405984074977273,7.870193048807976,13.701747227187935,100.0,3.4822505502743923,172.31659346140677
SOBI,Swedish Orphan Biovitrum AB (publ),Europe,SE,OM,Health Care,Biotechnology,410.0,440.0,192.0,1.439368475015667,9.81200403179723,-16.3495338284719,58.904,0.14669464773467109,415.9014107475642
FCT,Fincantieri S.p.A.,Europe,IT,BIT,Industrials,Machinery,14.81,19.35,6.100000000000001,33.289992678792466,8.457994462417973,19.916336828861,100.0,3.935920368204582,19.740247915729164
TITC,Titan S.A.,Europe,BE,ATSE,Materials,Construction Materials,53.2,60.1,11.700000000000003,13.923030312368333,4.503781413917231,6.628068572518717,100.0,3.0914089812051,60.607052126179966
CURY,Currys plc,Europe,GB,LSE,Consumer Discretionary,Specialty Retail,1.565,1.74,0.5999999999999999,15.8774303872962,8.039677448415935,3.812000679001943,99.8,1.9748840036392934,1.8134817855611856
REY,Reply S.p.A.,Europe,IT,BIT,Information Technology,IT Services,88.6,167.5,54.0,83.31429779526677,12.611371486369597,60.76290650718412,100.0,6.606283692880911,162.41646784660637
ALO,Alstom SA,Europe,FR,ENXTPA,Industrials,Machinery,29.12,25.75,22.799999999999997,-18.149840765573497,16.146819902670213,-46.69296836670339,13.818,-1.124050486410147,23.834766369064997
IMPN,Implenia AG,Europe,CH,SWX,Industrials,Construction and Engineering,76.4,90.0,48.0,5.622535678583067,13.522932997280815,-19.327348167724956,67.54599999999999,0.4157778256916339,80.69561725843747
LIFCOB,Lifco AB (publ),Europe,SE,OM,Industrials,Industrial Conglomerates,314.2,362.5,50.0,14.837725687867207,3.266587850964433,9.190012160570072,100.0,4.542270517379929,360.8201341112788
H2O,S.P.E.E.H. Hidroelectrica S.A.,Europe,RO,BVB,Utilities,Independent Power and Renewable Electricity Producers,151.3,115.0,40.0,-24.0348166348888,5.3858759184366045,-33.03384760478346,0.0,-4.4625641212071505,114.93532243141325
RTO,Rentokil Initial plc,Europe,GB,LSE,Industrials,Commercial Services and Supplies,4.593,5.0,2.18,3.2050556810708763,9.876557831748695,-14.594517041687288,64.446,0.3245114072807899,4.740208207431586
ACX,Acerinox S.A.,Europe,ES,BME,Materials,Metals and Mining,13.22,14.5,5.5,3.3668052511443007,8.808913555750557,-12.757543105566945,66.408,0.38220436945330366,13.665091654201277
IPN,Ipsen S.A.,Europe,FR,ENXTPA,Health Care,Pharmaceuticals,157.0,135.0,56.0,-10.62223516965503,7.399248342766012,-22.003371286204132,9.902,-1.4355830048656253,140.32309078364162
GLPG,Galapagos NV,Europe,BE,ENXTAM,Health Care,Biotechnology,28.4,28.95,25.799999999999997,8.8051868970935,18.686248786102993,-20.399111527406056,65.40599999999999,0.47121211955831066,30.900673078774556
SNP,OMV Petrom S.A.,Europe,RO,BVB,Energy,Oil Gas and Consumable Fuels,1.028,0.795,0.17999999999999994,-18.456319428081326,3.8720314880538513,-23.644248630476422,0.0,-4.766572659603495,0.838269036279324
BVI,Bureau Veritas SA,Europe,FR,ENXTPA,Industrials,Professional Services,27.42,34.0,13.0,21.59207167380951,9.754368304306967,4.774681802963673,99.152,2.213579700930064,33.34054605295857
TPRO,Technoprobe S.p.A.,Europe,IT,BIT,Information Technology,Semiconductors and Semiconductor Equipment,17.67,16.0,10.9,-16.807141561146473,12.846071921814527,-40.05215341315089,8.732,-1.308348704836804,14.700178086145419
GALP,Galp Energia SGPS S.A.,Europe,PT,ENXTLS,Energy,Oil Gas and Consumable Fuels,18.575,18.0,10.8,-4.538180216885562,11.892391738433103,-24.91200373896429,36.574,-0.3816036602813334,17.732033024713505
TGYM,Technogym S.p.A.,Europe,IT,BIT,Consumer Discretionary,Leisure Products,18.25,16.0,5.5,-7.809099479387931,6.3579949777542275,-17.049092412980194,13.868,-1.2282330367845404,16.824839345011704
SOON,Sonova Holding AG,Europe,CH,SWX,Health Care,Health Care Equipment and Supplies,193.75,225.0,140.0,21.237571275535846,14.815221389377275,-2.110204918982788,92.66,1.433496720525789,234.8977943463507
NEX,Nexans S.A.,Europe,FR,ENXTPA,Industrials,Electrical Equipment,122.9,136.0,65.0,8.67134713256811,10.804603625598014,-9.937381581010099,77.436,0.8025604115660622,133.55708562592622
HOME,Neinor Homes S.A.,Europe,ES,BME,Consumer Discretionary,Household Durables,18.84,19.3,5.5,8.676294444302712,6.3349915342530885,-0.05862067034034251,94.814,1.369582642279832,20.47461387330663
TECN,Tecan Group AG,Europe,CH,SWX,Health Care,Life Sciences Tools and Services,133.4,174.0,247.0,73.61670207964089,40.73689363235622,18.75570421733509,100.0,1.80712605983214,231.60468057424094
SHOT,Scandic Hotels Group AB (publ),Europe,SE,OM,Consumer Discretionary,Hotels Restaurants and Leisure,85.5,92.5,38.0,5.417738126258328,9.135477664277253,-10.477900563316998,71.706,0.5930437712571375,90.13216609795086
ERF,Eurofins Scientific SE,Europe,LU,ENXTPA,Health Care,Life Sciences Tools and Services,66.32,72.0,45.0,6.940592522313095,13.854553831419958,-16.679443271353897,68.568,0.5009610996330259,70.92300096079803
DEZ,DEUTZ Aktiengesellschaft,Europe,DE,XTRA,Industrials,Machinery,12.03,11.5,2.5999999999999996,-5.507086788179406,4.408912487468682,-13.182566333959349,11.164,-1.24908053943734,11.367497459382017
ORK,Orkla ASA,Europe,NO,OB,Consumer Staples,Food Products,130.2,125.0,23.0,-5.7773032289366695,3.660662333653354,-12.337498936157441,4.344,-1.5782125479928928,122.67795119592445
SBMO,SBM Offshore N.V.,Europe,NL,ENXTAM,Energy,Energy Equipment and Services,31.16,35.3075,20.447599999999998,12.259465946053988,13.417260234524598,-10.389800334117087,80.28999999999999,0.9137085911554854,34.98004958879042
TEL2B,Tele2 AB (publ),Europe,SE,OM,Communication Services,Wireless Telecommunication Services,191.3,166.7,73.0,-13.991885318018461,7.815282520157563,-27.411203586620044,3.1759999999999997,-1.7903236744071502,164.5335233866307
EBRO,Ebro Foods S.A.,Europe,ES,BME,Consumer Staples,Food Products,19.5,20.33,3.599999999999998,2.7845768049081427,3.7885276677528954,-3.908029683466541,75.618,0.7350023674394254,20.042992476957085
INF,Informa plc,Europe,GB,LSE,Consumer Staples,Media,8.174,10.8,4.800000000000001,33.00437555584346,11.938401868278094,13.0999660655306,100.0,2.764555584574551,10.871777657934643
HWDN,Howden Joinery Group Plc,Europe,GB,LSE,Industrials,Trading Companies and Distributors,8.515,9.5,3.299999999999999,19.05636149414285,8.353600916676273,7.370962106468066,100.0,2.281215212962913,10.137649181226264
FME,Fresenius Medical Care AG,Europe,DE,XTRA,Health Care,Health Care Providers and Services,41.39,44.0,35.0,15.29894121068807,17.59179154597767,-11.573454907470637,79.276,0.8696636252597106,47.72223176710379
ROSE,Rosebank Industries plc,Europe,JE,AIM,Industrials,Electrical Equipment,3.28,4.1598,0.2632000000000003,27.78098291901202,1.6682933291848356,25.278069943712907,100.0,16.65233711183537,4.191216239743594
