ticker    ,name                                                            ,country,exchange,sector                ,industry                                             ,kalman_estimate   ,kalman_variance    ,kalman_gain       ,signal_strength   ,original_price,original_target,filtered_upside
4681      ,Resorttrust Inc.                                                ,JP     ,TSE     ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,2117.2275706584487,0.09090917355296778,0.9090917355296769,10.999989988000012,1789.5        ,2150.0         ,18.313918449759637
A079550   ,LIG Nex1 Co. Ltd.                                               ,KR     ,KOSE    ,Industrials           ,Aerospace and Defense                                ,608181.9528913373 ,0.09090917355296778,0.9090917355296769,10.999989988000012,460000.0      ,623000.0       ,32.213468019855945
4004      ,Resonac Holdings Corporation                                    ,JP     ,TSE     ,Materials             ,Chemicals                                            ,7989.998045472314 ,0.09090917355296778,0.9090917355296769,10.999989988000012,10140.0       ,7775.0         ,-21.203175093961406
7936      ,ASICS Corporation                                               ,JP     ,TSE     ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,4717.8184743775055,0.09090917355296778,0.9090917355296769,10.999989988000012,4396.0        ,4750.0         ,7.320711428059725
TENNIND   ,Tenneco Clean Air India Limited                                 ,IN     ,NSEI    ,Consumer Discretionary,Automobile Components                                ,605.500040908719  ,0.09090917355296778,0.9090917355296769,10.999989988000012,560.5         ,610.0          ,8.028553239735777
4543      ,Terumo Corporation                                              ,JP     ,TSE     ,Health Care           ,Health Care Equipment and Supplies                   ,3046.4100326360667,0.09090917355296778,0.9090917355296769,10.999989988000012,2010.5        ,3150.0         ,51.52499540592225
1928      ,Sands China Ltd.                                                ,MO     ,SEHK    ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,22.587458261288536,0.09090917355296778,0.9090917355296769,10.999989988000012,18.5          ,22.9962        ,22.094368979938032
A402340   ,SK Square Co. Ltd.                                              ,KR     ,KOSE    ,Industrials           ,Industrial Conglomerates                             ,559818.1834710593 ,0.09090917355296778,0.9090917355296769,10.999989988000012,558000.0      ,560000.0       ,0.32583933173105917
ENRIN     ,Siemens Energy India Limited                                    ,IN     ,NSEI    ,Industrials           ,Electrical Equipment                                 ,3090.0094090053726,0.09090917355296778,0.9090917355296769,10.999989988000012,2740.1        ,3125.0         ,12.769950330475993
ELK       ,Elkem ASA                                                       ,NO     ,OB      ,Materials             ,Chemicals                                            ,31.40909673548422 ,0.09090917355296778,0.9090917355296769,10.999989988000012,25.0          ,32.05          ,25.636386941936877
RS1       ,RS Group plc                                                    ,GB     ,LSE     ,Industrials           ,Trading Companies and Distributors                   ,7.235454541322352 ,0.09090917355296778,0.9090917355296769,10.999989988000012,7.24          ,7.235          ,-0.06278257842055396
CAP       ,Capgemini SE                                                    ,FR     ,ENXTPA  ,Information Technology,IT Services                                          ,168.62278524740685,0.09090917355296778,0.9090917355296769,10.999989988000012,104.85        ,175.0          ,60.82287577244336
UNVR      ,PT Unilever Indonesia Tbk                                       ,ID     ,IDX     ,Consumer Staples      ,Household Products                                   ,2550.000227270661 ,0.09090917355296778,0.9090917355296769,10.999989988000012,2300.0        ,2575.0         ,10.869575098724395
BTA       ,BT Group plc                                                    ,GB     ,LSE     ,Communication Services,Diversified Telecommunication Services               ,2.091181807438114 ,0.09090917355296778,0.9090917355296769,10.999989988000012,2.103         ,2.09           ,-0.5619682625718649
9006      ,Keikyu Corporation                                              ,JP     ,TSE     ,Industrials           ,Ground Transportation                                ,1570.8182198343652,0.09090917355296778,0.9090917355296769,10.999989988000012,1529.0        ,1575.0         ,2.7350045673227736
MINT      ,Minor International Public Company Limited                      ,TH     ,SET     ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,34.02273388423742 ,0.09090917355296778,0.9090917355296769,10.999989988000012,26.75         ,34.75          ,27.187790221448292
NAS       ,Norwegian Air Shuttle ASA                                       ,NO     ,OB      ,Industrials           ,Passenger Airlines                                   ,18.809547185934672,0.09090917355296778,0.9090917355296769,10.999989988000012,16.905        ,19.0           ,11.266176787546117
KALMAR    ,Kalmar Oyj                                                      ,FI     ,HLSE    ,Industrials           ,Machinery                                            ,48.59818547104117 ,0.09090917355296778,0.9090917355296769,10.999989988000012,44.58         ,49.0           ,9.013426359446324
BSR       ,Binh Son Refining and Petrochemical Joint Stock Company         ,VN     ,HOSE    ,Energy                ,Oil Gas and Consumable Fuels                         ,15736.974851874984,0.09090917355296778,0.9090917355296769,10.999989988000012,24500.0       ,14860.6811     ,-35.767449584183744
A006260   ,LS Corp.                                                        ,KR     ,KOSE    ,Industrials           ,Electrical Equipment                                 ,290727.31156989484,0.09090917355296778,0.9090917355296769,10.999989988000012,248000.0      ,295000.0       ,17.228754665280178
SCOM      ,Safaricom PLC                                                   ,KE     ,NASE    ,Communication Services,Wireless Telecommunication Services                  ,35.81363805783584 ,0.09090917355296778,0.9090917355296769,10.999989988000012,33.95         ,36.0           ,5.48936099509819
PHX       ,Phoenix Group Plc                                               ,AE     ,ADX     ,Information Technology,Software                                             ,2.813728974282052 ,0.09090917355296778,0.9090917355296769,10.999989988000012,0.942         ,3.0009         ,198.69734334204375
A214150   ,CLASSYS Inc.                                                    ,KR     ,KOSDAQ  ,Health Care           ,Health Care Equipment and Supplies                   ,72581.82652884974 ,0.09090917355296778,0.9090917355296769,10.999989988000012,63400.0       ,73500.0        ,14.482376228469612
NAUKRI    ,Info Edge (India) Limited                                       ,IN     ,NSEI    ,Communication Services,Interactive Media and Services                       ,1542.3730920627995,0.09090917355296778,0.9090917355296769,10.999989988000012,1141.1        ,1582.5         ,35.16546245401802
534309    ,NBCC (India) Limited                                            ,IN     ,BSE     ,Industrials           ,Construction and Engineering                         ,141.64549413187152,0.09090917355296778,0.9090917355296769,10.999989988000012,98.1          ,146.0          ,44.38888290710655
4612      ,Nippon Paint Holdings Co. Ltd.                                  ,JP     ,TSE     ,Materials             ,Chemicals                                            ,1143.1364260324906,0.09090917355296778,0.9090917355296769,10.999989988000012,1074.5        ,1150.0         ,6.387754865750636
TALABAT   ,Talabat Holding plc                                             ,AE     ,DFM     ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,1.5328187925564314,0.09090917355296778,0.9090917355296769,10.999989988000012,0.861         ,1.6            ,78.02773432711166
QQ        ,QinetiQ Group plc                                               ,GB     ,LSE     ,Industrials           ,Aerospace and Defense                                ,5.600727902473614 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4.908         ,5.67           ,14.11426044159767
2501      ,Sapporo Holdings Limited                                        ,JP     ,TSE     ,Consumer Staples      ,Beverages                                            ,1243.6812392614613,0.09090917355296778,0.9090917355296769,10.999989988000012,1880.5        ,1180.0         ,-33.864331865915375
7747      ,Asahi Intecc Co. Ltd.                                           ,JP     ,TSE     ,Health Care           ,Health Care Equipment and Supplies                   ,3327.2733884237414,0.09090917355296778,0.9090917355296769,10.999989988000012,2600.0        ,3400.0         ,27.972053400913133
SOON      ,Sonova Holding AG                                               ,CH     ,SWX     ,Health Care           ,Health Care Equipment and Supplies                   ,222.53638603285424,0.09090917355296778,0.9090917355296769,10.999989988000012,197.9         ,225.0          ,12.44890653504509
9735      ,SECOM CO. LTD.                                                  ,JP     ,TSE     ,Industrials           ,Commercial Services and Supplies                     ,5974.999909091735 ,0.09090917355296778,0.9090917355296769,10.999989988000012,6075.0        ,5965.0         ,-1.646092031411763
IRB       ,IRB Infrastructure Developers Limited                           ,IN     ,NSEI    ,Industrials           ,Construction and Engineering                         ,55.82001072717521 ,0.09090917355296778,0.9090917355296769,10.999989988000012,44.02         ,57.0           ,26.806021642833265
6361      ,Ebara Corporation                                               ,JP     ,TSE     ,Industrials           ,Machinery                                            ,4982.090617358024 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5303.0        ,4950.0         ,-6.051468652498128
4578      ,Otsuka Holdings Co. Ltd.                                        ,JP     ,TSE     ,Health Care           ,Pharmaceuticals                                      ,10735.000136362396,0.09090917355296778,0.9090917355296769,10.999989988000012,10585.0       ,10750.0        ,1.4171009576041191
6871      ,Micronics Japan Co. Ltd.                                        ,JP     ,TSE     ,Information Technology,Semiconductors and Semiconductor Equipment           ,7919.997545476859 ,0.09090917355296778,0.9090917355296769,10.999989988000012,10620.0       ,7650.0         ,-25.42375192582995
A310210   ,Voronoi Inc.                                                    ,KR     ,KOSDAQ  ,Health Care           ,Biotechnology                                        ,264772.7747929564 ,0.09090917355296778,0.9090917355296769,10.999989988000012,212500.0      ,270000.0       ,24.598952843744197
2503      ,Kirin Holdings Company Limited                                  ,JP     ,TSE     ,Consumer Staples      ,Beverages                                            ,2508.3181061990344,0.09090917355296778,0.9090917355296769,10.999989988000012,2591.5        ,2500.0         ,-3.2097971754183123
7911      ,TOPPAN Holdings Inc.                                            ,JP     ,TSE     ,Industrials           ,Commercial Services and Supplies                     ,5899.091826437942 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4890.0        ,6000.0         ,20.635824671532546
7733      ,Olympus Corporation                                             ,JP     ,TSE     ,Health Care           ,Health Care Equipment and Supplies                   ,1986.5910309906274,0.09090917355296778,0.9090917355296769,10.999989988000012,1852.5        ,2000.0         ,7.238382239709979
5706      ,Mitsui Kinzoku Company Limited                                  ,JP     ,TSE     ,Materials             ,Metals and Mining                                    ,22867.269388460107,0.09090917355296778,0.9090917355296769,10.999989988000012,26540.0       ,22500.0        ,-13.838472537829288
7912      ,Dai Nippon Printing Co. Ltd.                                    ,JP     ,TSE     ,Industrials           ,Commercial Services and Supplies                     ,2857.4542504159053,0.09090917355296778,0.9090917355296769,10.999989988000012,3182.0        ,2825.0         ,-10.199426448274503
COH       ,Cochlear Limited                                                ,AU     ,ASX     ,Health Care           ,Health Care Equipment and Supplies                   ,290.419719271643  ,0.09090917355296778,0.9090917355296769,10.999989988000012,199.22        ,299.5396       ,45.77839537779489
A003230   ,Samyang Foods Co. Ltd.                                          ,KR     ,KOSE    ,Consumer Staples      ,Food Products                                        ,1744545.9586731028,0.09090917355296778,0.9090917355296769,10.999989988000012,1190000.0     ,1800000.0      ,46.600500728832166
4088      ,Air Water Inc.                                                  ,JP     ,TSE     ,Materials             ,Chemicals                                            ,2905.773129335188 ,0.09090917355296778,0.9090917355296769,10.999989988000012,2463.5        ,2950.0         ,17.95303955084993
AKER      ,Aker ASA                                                        ,NO     ,OB      ,Industrials           ,Industrial Conglomerates                             ,842.1817756202216 ,0.09090917355296778,0.9090917355296769,10.999989988000012,889.0         ,837.5          ,-5.2663919437321
5105      ,Toyo Tire Corporation                                           ,JP     ,TSE     ,Consumer Discretionary,Automobile Components                                ,4583.454695866401 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4418.0        ,4600.0         ,3.7450134872431278
AC        ,Air Canada                                                      ,CA     ,TSX     ,Industrials           ,Passenger Airlines                                   ,24.113639876001127,0.09090917355296778,0.9090917355296769,10.999989988000012,20.25         ,24.5           ,19.07970309136359
HUH1V     ,Huhtamäki Oyj                                                   ,FI     ,HLSE    ,Materials             ,Containers and Packaging                             ,36.514549867728476,0.09090917355296778,0.9090917355296769,10.999989988000012,31.66         ,37.0           ,15.333385558207441
USFD      ,US Foods Holding Corp.                                          ,US     ,NYSE    ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,101.81181989254644,0.09090917355296778,0.9090917355296769,10.999989988000012,99.93         ,102.0          ,1.8831380892088776
SAF       ,Safran SA                                                       ,FR     ,ENXTPA  ,Industrials           ,Aerospace and Defense                                ,339.34546049581365,0.09090917355296778,0.9090917355296769,10.999989988000012,332.8         ,340.0          ,1.9667850047516957
TXNM      ,TXNM Energy Inc.                                                ,US     ,NYSE    ,Utilities             ,Electric Utilities                                   ,60.95727425205225 ,0.09090917355296778,0.9090917355296769,10.999989988000012,59.28         ,61.125         ,2.8294100068357793
ATMU      ,Atmus Filtration Technologies Inc.                              ,US     ,NYSE    ,Industrials           ,Machinery                                            ,59.46545031408805 ,0.09090917355296778,0.9090917355296769,10.999989988000012,64.12         ,59.0           ,-7.259123028558877
UI        ,Ubiquiti Inc.                                                   ,US     ,NYSE    ,Information Technology,Communications Equipment                             ,632.2781020172544 ,0.09090917355296778,0.9090917355296769,10.999989988000012,720.06        ,623.5          ,-12.190914365850846
MG        ,Magna International Inc.                                        ,CA     ,TSX     ,Consumer Discretionary,Automobile Components                                ,68.82579573276607 ,0.09090917355296778,0.9090917355296769,10.999989988000012,93.52         ,66.3564        ,-26.405265469668443
TOI       ,Topicus.com Inc.                                                ,NL     ,TSXV    ,Information Technology,Software                                             ,181.3376327787929 ,0.09090917355296778,0.9090917355296769,10.999989988000012,85.28         ,190.9433       ,112.63793712335004
AL        ,Air Lease Corporation                                           ,US     ,NYSE    ,Industrials           ,Trading Companies and Distributors                   ,64.97545476859301 ,0.09090917355296778,0.9090917355296769,10.999989988000012,64.73         ,65.0           ,0.3791978504449353
CCO       ,Cameco Corporation                                              ,CA     ,TSX     ,Energy                ,Oil Gas and Consumable Fuels                         ,173.085471950255  ,0.09090917355296778,0.9090917355296769,10.999989988000012,153.94        ,175.0          ,12.436970215834092
SXT       ,Sensient Technologies Corporation                               ,US     ,NYSE    ,Materials             ,Chemicals                                            ,117.54820410723539,0.09090917355296778,0.9090917355296769,10.999989988000012,93.03         ,120.0          ,26.355158666274743
AAP       ,Advance Auto Parts Inc.                                         ,US     ,NYSE    ,Consumer Discretionary,Specialty Retail                                     ,55.34999681821074 ,0.09090917355296778,0.9090917355296769,10.999989988000012,58.85         ,55.0           ,-5.947329110941819
BME       ,B&M European Value Retail S.A.                                  ,LU     ,LSE     ,Consumer Discretionary,Broadline Retail                                     ,1.9826365214861683,0.09090917355296778,0.9090917355296769,10.999989988000012,1.809         ,2.0            ,9.598481010844024
ZTS       ,Zoetis Inc.                                                     ,US     ,NYSE    ,Health Care           ,Pharmaceuticals                                      ,143.33183334696957,0.09090917355296778,0.9090917355296769,10.999989988000012,126.65        ,145.0          ,13.171601537283511
AFG       ,AF Gruppen ASA                                                  ,NO     ,OB      ,Industrials           ,Construction and Engineering                         ,167.18180289270097,0.09090917355296778,0.9090917355296769,10.999989988000012,184.0         ,165.5          ,-9.14032451483643
H         ,Hydro One Limited                                               ,CA     ,TSX     ,Utilities             ,Electric Utilities                                   ,53.31545167771202 ,0.09090917355296778,0.9090917355296769,10.999989988000012,56.47         ,53.0           ,-5.586237510692367
MRNA      ,Moderna Inc.                                                    ,US     ,NasdaqGS,Health Care           ,Biotechnology                                        ,32.02089981000173 ,0.09090917355296778,0.9090917355296769,10.999989988000012,42.23         ,31.0           ,-24.174994529950908
TRP       ,TC Energy Corporation                                           ,CA     ,TSX     ,Energy                ,Oil Gas and Consumable Fuels                         ,80.5927218843465  ,0.09090917355296778,0.9090917355296769,10.999989988000012,86.52         ,80.0           ,-6.850760651471907
ENB       ,Enbridge Inc.                                                   ,CA     ,TSX     ,Energy                ,Oil Gas and Consumable Fuels                         ,71.20908900828174 ,0.09090917355296778,0.9090917355296769,10.999989988000012,73.3          ,71.0           ,-2.8525388700112697
