ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,distress_probability,liquidity_stress_score,cash_runway_months   ,altman_z_score,altman_z_trend,interest_coverage    ,quick_ratio        ,risk_level,confidence_interval                          ,data_quality_score
ALKEM     ,Alkem Laboratories Limited                                      ,Health Care           ,Pharmaceuticals                                      ,IN     ,NSEI    ,0.33                ,0.0                   ,1.6203497023809523   ,              ,              ,-21.625              ,1.8693340132213947 ,Medium    ,"(0.26, 0.4)"                                ,0.8
9147      ,Nippon Express Holdings Inc.                                    ,Industrials           ,Air Freight and Logistics                            ,JP     ,TSE     ,0.63                ,15.0                  ,0.9702661795376633   ,1.94          ,0.05          ,-3.069391961525249   ,1.1674860054542846 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
GMRAIRPORT,GMR Airports Limited                                            ,Industrials           ,Transportation Infrastructure                        ,IN     ,NSEI    ,0.4799999999999999  ,30.0                  ,1.1401529762632772   ,              ,              ,-0.8206085172643911  ,0.7355379078092885 ,Medium    ,"(0.4099999999999999, 0.5499999999999999)"   ,0.8
ADPORTS   ,Abu Dhabi Ports Company PJSC                                    ,Industrials           ,Transportation Infrastructure                        ,AE     ,ADX     ,0.99                ,0.0                   ,1.577948283264165    ,1.01          ,0.0           ,-2.6571210524403095  ,1.5081736224547053 ,Distressed,"(0.94, 1)"                                  ,1.0
A298380   ,ABL Bio Inc.                                                    ,Health Care           ,Biotechnology                                        ,KR     ,KOSDAQ  ,0.22999999999999998 ,0.0                   ,12.616662710657488   ,29.65         ,-20.12        ,49.44186046511628    ,2.5247956403269756 ,Low       ,"(0.18, 0.27999999999999997)"                ,1.0
9007      ,Odakyu Electric Railway Co. Ltd.                                ,Industrials           ,Ground Transportation                                ,JP     ,TSE     ,0.99                ,30.0                  ,2.600426834014001    ,1.06          ,0.01          ,-9.237540628385698   ,0.36811686638038366,Distressed,"(0.94, 1)"                                  ,1.0
NH        ,Narayana Hrudayalaya Limited                                    ,Health Care           ,Health Care Providers and Services                   ,IN     ,NSEI    ,0.33                ,0.0                   ,1.2748373931896442   ,              ,              ,-6.588996763754046   ,2.061199426894999  ,Medium    ,"(0.26, 0.4)"                                ,0.8
1860      ,Toda Corporation                                                ,Industrials           ,Construction and Engineering                         ,JP     ,TSE     ,0.99                ,15.0                  ,1.1919860772985627   ,1.57          ,-0.02         ,-13.42409923213231   ,1.1017853338446462 ,Distressed,"(0.94, 1)"                                  ,1.0
A082740   ,Hanwha Engine Co. Ltd.                                          ,Industrials           ,Machinery                                            ,KR     ,KOSE    ,0.99                ,15.0                  ,0.5106988564167726   ,1.0           ,-0.18         ,-1.021039603960396   ,0.3619134720422732 ,Distressed,"(0.94, 1)"                                  ,1.0
FORTIS    ,Fortis Healthcare Limited                                       ,Health Care           ,Health Care Providers and Services                   ,IN     ,NSEI    ,0.33                ,15.0                  ,0.7180490283246539   ,              ,              ,-6.717535153019024   ,0.890235724970341  ,Medium    ,"(0.26, 0.4)"                                ,0.8
7272      ,Yamaha Motor Co. Ltd.                                           ,Consumer Discretionary,Automobiles                                          ,JP     ,TSE     ,0.63                ,0.0                   ,1.8804159901492123   ,2.21          ,0.15          ,-14.746675997200839  ,1.0359314807361442 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
5020      ,ENEOS Holdings Inc.                                             ,Energy                ,Oil Gas and Consumable Fuels                         ,JP     ,TSE     ,0.63                ,0.0                   ,0.89395539014897     ,2.23          ,0.08          ,-8.379662878627856   ,0.9661734204693853 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
4681      ,Resorttrust Inc.                                                ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,JP     ,TSE     ,0.99                ,15.0                  ,1.6316148856264936   ,1.6           ,-0.06         ,-66.28673835125448   ,0.984030064890599  ,Distressed,"(0.94, 1)"                                  ,1.0
A079550   ,LIG Nex1 Co. Ltd.                                               ,Industrials           ,Aerospace and Defense                                ,KR     ,KOSE    ,0.99                ,30.0                  ,0.2999299545834557   ,1.61          ,-0.39         ,-28.602579132473622  ,0.8038530830184324 ,Distressed,"(0.94, 1)"                                  ,1.0
4004      ,Resonac Holdings Corporation                                    ,Materials             ,Chemicals                                            ,JP     ,TSE     ,0.99                ,0.0                   ,1.94907149314031     ,1.36          ,0.07          ,-1.3429033562474726  ,1.302429647270447  ,Distressed,"(0.94, 1)"                                  ,1.0
7936      ,ASICS Corporation                                               ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,JP     ,TSE     ,0.4799999999999999  ,0.0                   ,2.3169872688197803   ,8.35          ,-2.06         ,-26.955516534972197  ,1.3558120981744803 ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
TENNIND   ,Tenneco Clean Air India Limited                                 ,Consumer Discretionary,Automobile Components                                ,IN     ,NSEI    ,0.33                ,15.0                  ,1.0323036333797286   ,              ,              ,-25.522935779816514  ,0.9932756221981759 ,Medium    ,"(0.26, 0.4)"                                ,0.8
4543      ,Terumo Corporation                                              ,Health Care           ,Health Care Equipment and Supplies                   ,JP     ,TSE     ,0.18                ,0.0                   ,3.008265309257761    ,7.35          ,0.04          ,                     ,1.458546882719592  ,Low       ,"(0.11, 0.25)"                               ,0.8
1928      ,Sands China Ltd.                                                ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MO     ,SEHK    ,0.8599999999999999  ,30.0                  ,2.0599512025095854   ,2.17          ,-0.12         ,-3.3586387434554976  ,0.6129796305068688 ,Distressed,"(0.8099999999999998, 0.9099999999999999)"   ,1.0
A402340   ,SK Square Co. Ltd.                                              ,Industrials           ,Industrial Conglomerates                             ,KR     ,KOSE    ,0.37999999999999995 ,0.0                   ,10.091671909465083   ,5.58          ,-1.67         ,-429.8450932684509   ,2.14830261655677   ,Medium    ,"(0.32999999999999996, 0.42999999999999994)" ,1.0
ENRIN     ,Siemens Energy India Limited                                    ,Industrials           ,Electrical Equipment                                 ,IN     ,NSEI    ,0.22999999999999998 ,0.0                   ,6.515255370726407    ,13.78         ,0.0           ,-51.50157728706625   ,1.793352218304836  ,Low       ,"(0.18, 0.27999999999999997)"                ,1.0
ELK       ,Elkem ASA                                                       ,Materials             ,Chemicals                                            ,NO     ,OB      ,0.63                ,0.0                   ,2.1687645343472      ,1.95          ,-0.15         ,-1.1030708918654035  ,2.6131681019144546 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
RS1       ,RS Group plc                                                    ,Industrials           ,Trading Companies and Distributors                   ,GB     ,LSE     ,0.33                ,0.0                   ,0.998019533828732    ,3.65          ,0.29          ,-10.430888813788442  ,1.1756518254929833 ,Medium    ,"(0.28, 0.38)"                               ,1.0
CAP       ,Capgemini SE                                                    ,Information Technology,IT Services                                          ,FR     ,ENXTPA  ,0.53                ,15.0                  ,1.291245716898346    ,2.98          ,0.11          ,-14.619062057812815  ,1.1067203765174456 ,High      ,"(0.48000000000000004, 0.5800000000000001)"  ,1.0
UNVR      ,PT Unilever Indonesia Tbk                                       ,Consumer Staples      ,Household Products                                   ,ID     ,IDX     ,0.43                ,30.0                  ,0.3494759627596718   ,5.57          ,1.41          ,-39.08142493638677   ,0.28159556572815264,Medium    ,"(0.38, 0.48)"                               ,1.0
BTA       ,BT Group plc                                                    ,Communication Services,Diversified Telecommunication Services               ,GB     ,LSE     ,0.99                ,30.0                  ,0.2537407428493849   ,1.09          ,-0.05         ,-2.8141056631009853  ,0.7770253680360666 ,Distressed,"(0.94, 1)"                                  ,1.0
9006      ,Keikyu Corporation                                              ,Industrials           ,Ground Transportation                                ,JP     ,TSE     ,0.99                ,15.0                  ,4.129124625034088    ,1.1           ,-0.07         ,-7.425140361821584   ,0.6023020687509721 ,Distressed,"(0.94, 1)"                                  ,1.0
MINT      ,Minor International Public Company Limited                      ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,TH     ,SET     ,0.99                ,30.0                  ,0.8494766236332342   ,0.97          ,0.11          ,-2.6463651678113256  ,0.5196433244296104 ,Distressed,"(0.94, 1)"                                  ,1.0
NAS       ,Norwegian Air Shuttle ASA                                       ,Industrials           ,Passenger Airlines                                   ,NO     ,OB      ,0.43                ,15.0                  ,2.8158516774222395   ,              ,              ,-3.212143559488692   ,0.9947057350024034 ,Medium    ,"(0.36, 0.5)"                                ,0.8
KALMAR    ,Kalmar Oyj                                                      ,Industrials           ,Machinery                                            ,FI     ,HLSE    ,0.33                ,0.0                   ,2.0433445157695567   ,3.46          ,-0.12         ,-16.42098765432099   ,0.8869893133817665 ,Medium    ,"(0.28, 0.38)"                               ,1.0
BSR       ,Binh Son Refining and Petrochemical Joint Stock Company         ,Energy                ,Oil Gas and Consumable Fuels                         ,VN     ,HOSE    ,0.4799999999999999  ,0.0                   ,0.9525               ,4.2           ,-1.91         ,-4.323033707865169   ,2.2152285314974893 ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
A006260   ,LS Corp.                                                        ,Industrials           ,Electrical Equipment                                 ,KR     ,KOSE    ,0.73                ,15.0                  ,0.8231912427208742   ,2.02          ,0.08          ,-2.7508906940287874  ,0.7203045003707012 ,Distressed,"(0.6799999999999999, 0.78)"                 ,1.0
SCOM      ,Safaricom PLC                                                   ,Communication Services,Wireless Telecommunication Services                  ,KE     ,NASE    ,0.63                ,30.0                  ,1.438112135538987    ,3.8           ,-0.55         ,-7.790104131218948   ,0.5388920199718996 ,High      ,"(0.5800000000000001, 0.6799999999999999)"   ,1.0
PHX       ,Phoenix Group Plc                                               ,Information Technology,Software                                             ,AE     ,ADX     ,0.37999999999999995 ,0.0                   ,-8.513708513708513   ,21.47         ,5.04          ,-86.07936507936508   ,6.405994075622931  ,Medium    ,"(0.32999999999999996, 0.42999999999999994)" ,1.0
A214150   ,CLASSYS Inc.                                                    ,Health Care           ,Health Care Equipment and Supplies                   ,KR     ,KOSDAQ  ,0.4799999999999999  ,0.0                   ,2.594146594146594    ,18.66         ,-5.48         ,-63.54597701149425   ,5.3758998435054774 ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
NAUKRI    ,Info Edge (India) Limited                                       ,Communication Services,Interactive Media and Services                       ,IN     ,NSEI    ,0.33                ,0.0                   ,1.6666666666666667   ,              ,              ,-35.932203389830505  ,3.20466747014353   ,Medium    ,"(0.26, 0.4)"                                ,0.8
534309    ,NBCC (India) Limited                                            ,Industrials           ,Construction and Engineering                         ,IN     ,BSE     ,0.33                ,15.0                  ,4.771027664254241    ,              ,              ,-232.97058823529412  ,1.1049935760171306 ,Medium    ,"(0.26, 0.4)"                                ,0.8
4612      ,Nippon Paint Holdings Co. Ltd.                                  ,Materials             ,Chemicals                                            ,JP     ,TSE     ,0.5800000000000001  ,30.0                  ,2.7943591511152692   ,              ,              ,-11.075467716978478  ,0.7742068937221632 ,High      ,"(0.5100000000000001, 0.65)"                 ,0.8
TALABAT   ,Talabat Holding plc                                             ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,AE     ,DFM     ,0.27999999999999997 ,15.0                  ,2.913220540591301    ,8.92          ,4.68          ,-112.05813953488372  ,1.1461079668623522 ,Low       ,"(0.22999999999999998, 0.32999999999999996)" ,1.0
QQ        ,QinetiQ Group plc                                               ,Industrials           ,Aerospace and Defense                                ,GB     ,LSE     ,0.33                ,15.0                  ,1.5936780450992416   ,3.1           ,-0.15         ,-6.428661815881051   ,0.982695018077088  ,Medium    ,"(0.28, 0.38)"                               ,1.0
2501      ,Sapporo Holdings Limited                                        ,Consumer Staples      ,Beverages                                            ,JP     ,TSE     ,0.5800000000000001  ,30.0                  ,0.5385198371433103   ,              ,              ,-5.75933031042902    ,0.5794440115117239 ,High      ,"(0.5100000000000001, 0.65)"                 ,0.8
7747      ,Asahi Intecc Co. Ltd.                                           ,Health Care           ,Health Care Equipment and Supplies                   ,JP     ,TSE     ,0.4799999999999999  ,0.0                   ,5.673779057540806    ,13.57         ,-1.77         ,-306.0945945945946   ,3.2714426321709786 ,Medium    ,"(0.42999999999999994, 0.5299999999999999)"  ,1.0
SOON      ,Sonova Holding AG                                               ,Health Care           ,Health Care Equipment and Supplies                   ,CH     ,SWX     ,0.33                ,15.0                  ,1.925008610462669    ,5.2           ,-0.05         ,-23.17059569074778   ,0.9087246242057958 ,Medium    ,"(0.28, 0.38)"                               ,1.0
9735      ,SECOM CO. LTD.                                                  ,Industrials           ,Commercial Services and Supplies                     ,JP     ,TSE     ,0.33                ,0.0                   ,4.371128717368492    ,3.94          ,-0.18         ,-111.73781148429036  ,2.4341773470876316 ,Medium    ,"(0.28, 0.38)"                               ,1.0
IRB       ,IRB Infrastructure Developers Limited                           ,Industrials           ,Construction and Engineering                         ,IN     ,NSEI    ,0.43                ,15.0                  ,4.425585213520421    ,              ,              ,-0.9720218914633523  ,1.2684974676420935 ,Medium    ,"(0.36, 0.5)"                                ,0.8
6361      ,Ebara Corporation                                               ,Industrials           ,Machinery                                            ,JP     ,TSE     ,0.33                ,0.0                   ,2.5512466725580234   ,3.19          ,-0.02         ,-16.59412032816773   ,1.1230796737680342 ,Medium    ,"(0.28, 0.38)"                               ,1.0
4578      ,Otsuka Holdings Co. Ltd.                                        ,Health Care           ,Pharmaceuticals                                      ,JP     ,TSE     ,0.33                ,0.0                   ,3.017123794732023    ,4.41          ,-0.02         ,-22.98422759433962   ,1.645294493831448  ,Medium    ,"(0.28, 0.38)"                               ,1.0
6871      ,Micronics Japan Co. Ltd.                                        ,Information Technology,Semiconductors and Semiconductor Equipment           ,JP     ,TSE     ,0.27999999999999997 ,0.0                   ,3.60718767826583     ,5.59          ,0.63          ,-792.3076923076923   ,1.4098120932953133 ,Low       ,"(0.22999999999999998, 0.32999999999999996)" ,1.0
