ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,earnings_quality_composite,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_itf,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
6919      ,Caliway Biopharmaceuticals Co. Ltd.                                                    ,Pharmaceuticals                                      ,Asia / Pacific             ,7905.38   ,4                ,4.70725108400864     ,24.069984725878264,100.0              ,48.019504266558314 ,35                        ,12.633563796354494   ,0                      ,-0.1741851751591953,1.0                  ,0.0                    ,1845.217391304348  ,1                      ,177.28571428571428 ,2.058823529411765     ,0.0                   ,0                      ,307.64                 ,4.235278173070407  ,0.0                 ,                   ,7.142857142857143  ,                  ,0                   ,0.0                   ,0                   ,0.0               ,0.0314606741573033     ,                    ,0.2857142857142857
KHC       ,The Kraft Heinz Company                                                                ,Food Products                                        ,United States and Canada   ,29581.66  ,4                ,-0.2477810636263104  ,52.10350894037004 ,0.0                ,1.2615246904371176 ,55                        ,-3.8879159369527145  ,75                     ,12.274497103948864 ,1.0                  ,0.0                    ,0.5960896518836433 ,0                      ,77.26836581709145  ,4.723796033994335     ,53.31297048991077     ,0                      ,-18262.0               ,-6.764690866390974 ,0.0                 ,1.0803347584386014 ,1.085883514313919  ,0.7493755203996669,0                   ,0.0                   ,0                   ,0.0               ,0.1884219937416182     ,                    ,-0.7838104639684106
A241560   ,Doosan Bobcat Inc.                                                                     ,Machinery                                            ,Asia / Pacific             ,4296.82   ,4                ,0.591741553027534    ,54.37437343400024 ,36.666666666666664 ,3.020036665588267  ,85                        ,-41.48805054611908   ,100                    ,16.86898683212236  ,1.0                  ,0.0                    ,2.5154674487808006 ,0                      ,101.64594192265118 ,3.590895938351888     ,54.95485500346959     ,0                      ,1065.4                 ,7.711905532190229  ,0.0                 ,1.3615664109810255 ,52.244002119125106 ,0.0               ,1                   ,137.44                ,0                   ,1.589230603789686 ,0.3454681197209779     ,1.2557479627473809  ,-9.130628926057671
AGL       ,AGL Energy Limited                                                                     ,Multi-Utilities                                      ,Asia / Pacific             ,4741.64   ,5                ,0.0274796271580021   ,50.0              ,100.0              ,0.2637781502649499 ,25                        ,-113.6004217185029   ,0                      ,-4.348284559772568 ,1.0                  ,0.0                    ,0.0                ,0                      ,15.693329949310153 ,23.258288787590597    ,0.0                   ,0                      ,928.14                 ,-5.544360994077059 ,0.4168769173276806  ,0.0                ,32.46386145699156  ,1.7164397905759161,0                   ,33.36                 ,1                   ,0.316976184028619 ,1.4024664807285192     ,24.02158273381295   ,0.7022156422299366
3481      ,Innolux Corporation                                                                    ,Electronic Equipment Instruments and Components      ,Asia / Pacific             ,5587.12   ,5                ,0.4542118539713076   ,49.09573348450292 ,0.0                ,2.060352529292764  ,80                        ,-132.44084374845627  ,75                     ,3.5499506006672488 ,1.0                  ,0.0                    ,5.519032745152551  ,0                      ,65.48812383785251  ,5.573529651020905     ,7.791640189029517     ,0                      ,6564.77                ,0.7235781214279468 ,0.0                 ,0.98459004822962   ,-29.74235845530092 ,0.4758388858875082,1                   ,0.0                   ,0                   ,0.0               ,0.6837439209120625     ,                    ,-0.4423613307645857
3529      ,eMemory Technology Inc.                                                                ,Semiconductors and Semiconductor Equipment           ,Asia / Pacific             ,4725.82   ,5                ,-0.1408217102380604  ,49.968179790532   ,100.0              ,20.232035928143713 ,90                        ,16.23985009369144    ,100                    ,1.2730065893326448 ,1.0                  ,0.0                    ,27.10332693538068  ,1                      ,                   ,                      ,0.0                   ,0                      ,104.21                 ,-1.595845136921624 ,0.0                 ,1.0956937799043063 ,-81.28523111612176 ,3.617021276595745 ,0                   ,0.0                   ,0                   ,0.0               ,0.1026406086826793     ,                    ,1.1702367531003381
GFL       ,GFL Environmental Inc.                                                                 ,Commercial Services and Supplies                     ,United States and Canada   ,15803.22  ,7                ,0.2011658166878814   ,53.01661919073078 ,0.0                ,0.3086225635423735 ,25                        ,-1567.250437828371   ,25                     ,1.0263731062403736 ,0.0236686390532544   ,97.63313609467455      ,0.0                ,0                      ,0.0                ,                      ,87.34057628719886     ,0                      ,-645.37                ,-76.3341535234561  ,0.0                 ,1.0615465941700648 ,4.204339963833634  ,1.2739407298554983,0                   ,468.94                ,1                   ,3.3712218971983647,1.2972132323016996     ,1.8548428370367207  ,-0.1335260418715014
LENSKART  ,Lenskart Solutions Limited                                                             ,Specialty Retail                                     ,Asia / Pacific             ,8943.65   ,3                ,0.0                  ,100.0             ,100.0              ,1.9677280659601912 ,50                        ,-1747.6190476190477  ,75                     ,1.005629692575179  ,1.0                  ,0.0                    ,0.0                ,0                      ,189.8548219198453  ,1.9225216210420983    ,33.897769286804014    ,0                      ,347.58                 ,-5.712890625       ,7.376491286648088   ,                   ,-5.669504643962848 ,                  ,0                   ,62.2                  ,1                   ,4.814055183622925 ,0.8204879311460557     ,1.0384244372990354  ,2.4224548049476686
2059      ,King Slide Works Co. Ltd.                                                              ,Technology Hardware Storage and Peripherals          ,Asia / Pacific             ,9204.36   ,8                ,2.431331421863875    ,50.0              ,100.0              ,47.51045569926266  ,90                        ,112.69156544443184   ,100                    ,3.0160706447813865 ,1.0                  ,0.0                    ,2.882574060728824  ,0                      ,99.97527084314648  ,3.650902837489252     ,0.0                   ,0                      ,803.16                 ,23.944444444444443 ,0.0                 ,1.7766497461928934 ,-11.783960720130931,0.7365010799136069,0                   ,0.0                   ,0                   ,0.0               ,0.0457186071293527     ,                    ,9.866612111292962
A454910   ,Doosan Robotics Inc.                                                                   ,Machinery                                            ,Asia / Pacific             ,4631.66   ,2                ,0.2651851851851851   ,50.0              ,100.0              ,26.443522360534807 ,5                         ,102.12244897959184   ,0                      ,-0.579921669552601 ,1.0                  ,0.0                    ,2.586975914362177  ,0                      ,333.2227032227032  ,1.09536354056902      ,6.739842095128057     ,0                      ,232.68                 ,-13.914684228051351,0.0                 ,                   ,-7.468879668049792 ,                  ,0                   ,22.38                 ,0                   ,7.854836445317984 ,1.499492385786802      ,0.3199285075960679  ,-3.8257261410788383
