ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,dividend_cut_probability,fcf_dividend_coverage,payout_ratio          ,dividend_streak,dividend_consistency,yield_vs_5y_avg      ,sustainable_flag,safety_score      ,risk_category
W         ,Wayfair Inc.                                                    ,Consumer Discretionary,Specialty Retail                                     ,US     ,NYSE    ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
VAL       ,Valaris Limited                                                 ,Energy                ,Energy Equipment and Services                        ,BM     ,NYSE    ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
WSC       ,WillScot Holdings Corporation                                   ,Industrials           ,Construction and Engineering                         ,US     ,NasdaqCM,0.33999999999999997     ,13.4990878290331     ,0.16118462507876496   ,0              ,0.0                 ,                     ,0               ,66.0              ,Monitor
LYV       ,Live Nation Entertainment Inc.                                  ,Communication Services,Entertainment                                        ,US     ,NYSE    ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
ETSY      ,Etsy Inc.                                                       ,Consumer Discretionary,Broadline Retail                                     ,US     ,NYSE    ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
DE        ,Deere & Company                                                 ,Industrials           ,Machinery                                            ,US     ,NYSE    ,0.18                    ,1.8784883720930232   ,0.3421523771633181    ,6              ,0.6                 ,0.8974358974358975   ,1               ,82.0              ,Monitor
FTI       ,TechnipFMC plc                                                  ,Energy                ,Energy Equipment and Services                        ,US     ,NYSE    ,0.49                    ,19.361344537815125   ,0.08528719156342787   ,1              ,0.1                 ,0.5666666666666667   ,0               ,51.0              ,Borderline
BRC       ,Brady Corporation                                               ,Industrials           ,Commercial Services and Supplies                     ,US     ,NYSE    ,0.12                    ,3.501533070521244    ,0.20284318080852953   ,40             ,1.0                 ,0.6211180124223602   ,1               ,88.0              ,Safe
MDGL      ,Madrigal Pharmaceuticals Inc.                                   ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
ED        ,Consolidated Edison Inc.                                        ,Utilities             ,Multi-Utilities                                      ,US     ,NYSE    ,0.7200000000000001      ,-0.05928509154315606 ,0.5573372206025268    ,52             ,1.0                 ,0.8328358208955224   ,0               ,27.999999999999993,At Risk
CVE       ,Cenovus Energy Inc.                                             ,Energy                ,Oil Gas and Consumable Fuels                         ,CA     ,TSX     ,0.33999999999999997     ,2.05082759038823     ,0.41104857635355446   ,1              ,0.1                 ,1.1902439024390243   ,0               ,66.0              ,Monitor
GTX       ,Garrett Motion Inc.                                             ,Consumer Discretionary,Automobile Components                                ,CH     ,NasdaqGS,0.33999999999999997     ,10.333333333333334   ,0.10625424279094478   ,0              ,0.0                 ,                     ,0               ,66.0              ,Monitor
TRGP      ,Targa Resources Corp.                                           ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.6                     ,0.8376335678915819   ,0.43293315882114003   ,5              ,0.5                 ,0.8121827411167513   ,0               ,40.0              ,Borderline
AU        ,AngloGold Ashanti plc                                           ,Materials             ,Metals and Mining                                    ,US     ,NYSE    ,0.37                    ,1.9936808846761453   ,                      ,1              ,0.1                 ,1.175257731958763    ,0               ,63.0              ,Borderline
RNO       ,Renault SA                                                      ,Consumer Discretionary,Automobiles                                          ,FR     ,ENXTPA  ,0.35000000000000003     ,1.7700751397170895   ,                      ,3              ,0.3                 ,2.045977011494253    ,0               ,64.99999999999999 ,Borderline
ARCAD     ,Arcadis NV                                                      ,Industrials           ,Professional Services                                ,NL     ,ENXTAM  ,0.08                    ,2.831441381283984    ,                      ,5              ,0.5                 ,1.639344262295082    ,1               ,92.0              ,Safe
MRP       ,Mr Price Group Limited                                          ,Consumer Discretionary,Specialty Retail                                     ,ZA     ,JSE     ,0.33999999999999997     ,3.1783294048320565   ,                      ,1              ,0.1                 ,1.3023255813953487   ,0               ,66.0              ,Monitor
MMB       ,Lagardere SA                                                    ,Communication Services,Media                                                ,FR     ,ENXTPA  ,0.39                    ,10.547006255585345   ,                      ,2              ,0.2                 ,0.9652406417112299   ,0               ,61.0              ,Borderline
DOFG      ,DOF Group ASA                                                   ,Energy                ,Energy Equipment and Services                        ,NO     ,OB      ,0.33999999999999997     ,2.2517482517482517   ,0.26387658695010335   ,0              ,0.0                 ,                     ,0               ,66.0              ,Monitor
