ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,current_streak,streak_type,continuation_probability,mean_reversion_probability,expected_next_outcome,prediction_confidence,dynamic_total_reports,historical_beat_rate,revision_momentum_score,next_earnings_status
MRDIY     ,Mr D.I.Y. Group (M) Berhad                                      ,Consumer Discretionary,Specialty Retail                                     ,MY     ,KLSE    ,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Confirmed
FALABELLA ,Falabella S.A.                                                  ,Consumer Discretionary,Broadline Retail                                     ,CL     ,SNSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
505790    ,Schaeffler India Limited                                        ,Consumer Discretionary,Automobile Components                                ,IN     ,BSE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
LSG       ,Lerøy Seafood Group ASA                                         ,Consumer Staples      ,Food Products                                        ,NO     ,OB      ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
CPF       ,Charoen Pokphand Foods Public Company Limited                   ,Consumer Staples      ,Food Products                                        ,TH     ,SET     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
DGE       ,Diageo plc                                                      ,Consumer Staples      ,Beverages                                            ,GB     ,LSE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
VID       ,Vidrala S.A.                                                    ,Materials             ,Containers and Packaging                             ,ES     ,BME     ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,3                    ,0.0                 ,                       ,Confirmed
VCYT      ,Veracyte Inc.                                                   ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGM,4             ,beat       ,0.33930406249999995     ,0.6606959375000001        ,miss                 ,0.6                  ,6                    ,0.0                 ,                       ,Confirmed
EBRO      ,Ebro Foods S.A.                                                 ,Consumer Staples      ,Food Products                                        ,ES     ,BME     ,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,2                    ,0.0                 ,                       ,Confirmed
BVI       ,Bureau Veritas SA                                               ,Industrials           ,Professional Services                                ,FR     ,ENXTPA  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
RDOR3     ,Rede D'Or São Luiz S.A.                                         ,Health Care           ,Health Care Providers and Services                   ,BR     ,BOVESPA ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
NVDA      ,NVIDIA Corporation                                              ,Information Technology,Semiconductors and Semiconductor Equipment           ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
