ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,achievement_probability,upside_potential     ,price_target_spread_pct,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,expected_return_prob_weighted,confidence_level
ACAD      ,ACADIA Pharmaceuticals Inc.                                     ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,0.16999999999999998    ,40.7172038129823     ,74.19354838709677      ,60.0              ,0.060275             ,75.0                     ,6.92192464820699             ,Low
ZM        ,Zoom Communications Inc.                                        ,Information Technology,Software                                             ,US     ,NasdaqGS,0.7                    ,7.991360691144709    ,46.0                   ,46.666666666666664,0.024105             ,72.5                     ,5.593952483801296            ,Low
ODL       ,Odfjell Drilling Ltd.                                           ,Energy                ,Energy Equipment and Services                        ,GB     ,OB      ,0.75                   ,10.344331983805668   ,11.62289190443606      ,100.0             ,-0.035155            ,91.75                    ,7.758248987854252            ,High
WSP       ,WSP Global Inc.                                                 ,Industrials           ,Construction and Engineering                         ,CA     ,TSX     ,0.37                   ,49.18625678119349    ,22.727272727272727     ,100.0             ,0.02341              ,90.5                     ,18.198915009041592           ,Medium
UTHR      ,United Therapeutics Corporation                                 ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,0.52                   ,13.055778406451886   ,41.45658263305322      ,64.28571428571429 ,-0.014075            ,80.25                    ,6.789004771354981            ,Low
IONQ      ,IonQ Inc.                                                       ,Information Technology,Technology Hardware Storage and Peripherals          ,US     ,NYSE    ,0.22                   ,108.1501026092055    ,74.64788732394366      ,76.92307692307692 ,0.0                  ,86.5                     ,23.793022574025212           ,Low
PNW       ,Pinnacle West Capital Corporation                               ,Utilities             ,Electric Utilities                                   ,US     ,NYSE    ,0.85                   ,-2.404668477714056   ,29.896907216494846     ,12.5              ,0.0309               ,57.75                    ,-2.0439682060569475          ,Medium
PR        ,Permian Resources Corporation                                   ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.8999999999999999     ,4.1064198958935805   ,38.888888888888886     ,90.9090909090909  ,-0.02462             ,89.75                    ,3.695777906304222            ,Low
UHS       ,Universal Health Services Inc.                                  ,Health Care           ,Health Care Providers and Services                   ,US     ,NYSE    ,0.6499999999999999     ,4.339678889314765    ,45.714285714285715     ,36.8421052631579  ,0.031415             ,67.0                     ,2.820791278054597            ,Low
STRL      ,Sterling Infrastructure Inc.                                    ,Industrials           ,Construction and Engineering                         ,US     ,NasdaqGS,0.85                   ,5.078009000159901    ,15.869565217391305     ,83.33333333333333 ,0.079985             ,100.0                    ,4.316307650135916            ,High
SMMT      ,Summit Therapeutics Inc.                                        ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGM,0.15                   ,137.71858288770053   ,86.75409909821245      ,68.75             ,0.0                  ,84.5                     ,20.65778743315508            ,Low
PSKY      ,Paramount Skydance Corporation                                  ,Communication Services,Media                                                ,US     ,NasdaqGS,0.16999999999999998    ,35.65891472868217    ,67.85714285714286      ,15.0              ,-0.12964             ,42.0                     ,6.062015503875968            ,Low
NTNX      ,Nutanix Inc.                                                    ,Information Technology,Software                                             ,US     ,NasdaqGS,0.21000000000000002    ,48.46743295019157    ,77.35483870967742      ,66.66666666666667 ,-0.013635            ,77.75                    ,10.17816091954023            ,Low
WTRG      ,Essential Utilities Inc.                                        ,Utilities             ,Water Utilities                                      ,US     ,NYSE    ,0.6499999999999999     ,5.713566574377045    ,16.666666666666668     ,14.285714285714286,-0.00247             ,57.25                    ,3.7138182733450784           ,High
OC        ,Owens Corning                                                   ,Industrials           ,Building Products                                    ,US     ,NYSE    ,0.8099999999999999     ,1.7214397496087637   ,41.02564102564103      ,57.89473684210526 ,-0.04106             ,77.75                    ,1.3943661971830985           ,Low
SARO      ,StandardAero Inc.                                               ,Industrials           ,Aerospace and Defense                                ,US     ,NYSE    ,0.53                   ,22.669283611383708   ,34.666666666666664     ,58.333333333333336,-0.033475            ,77.0                     ,12.014720314033365           ,Medium
STN       ,Stantec Inc.                                                    ,Industrials           ,Construction and Engineering                         ,CA     ,TSX     ,0.42000000000000004    ,45.86846543001686    ,15.028901734104046     ,90.9090909090909  ,0.021135             ,81.75                    ,19.264755480607082           ,High
JOBY      ,Joby Aviation Inc.                                              ,Industrials           ,Passenger Airlines                                   ,US     ,NYSE    ,0.41000000000000003    ,26.262626262626263   ,128.0                  ,9.090909090909092 ,0.0                  ,45.5                     ,10.767676767676768           ,Low
JBTM      ,JBT Marel Corporation                                           ,Industrials           ,Machinery                                            ,US     ,NYSE    ,0.6699999999999999     ,3.5177720776841332   ,47.1976401179941       ,57.142857142857146,0.03137              ,83.25                    ,2.356907292048369            ,Low
FSS       ,Federal Signal Corporation                                      ,Industrials           ,Machinery                                            ,US     ,NYSE    ,0.55                   ,14.532326334135613   ,23.91304347826087      ,42.857142857142854,0.016965             ,70.75                    ,7.992779483774588            ,Medium
ORA       ,Ormat Technologies Inc.                                         ,Utilities             ,Independent Power and Renewable Electricity Producers,US     ,NYSE    ,0.82                   ,8.300194601912175    ,31.25                  ,80.0              ,-0.002505            ,85.0                     ,6.8061595735679825           ,Medium
SWX       ,Southwest Gas Holdings Inc.                                     ,Utilities             ,Gas Utilities                                        ,US     ,NYSE    ,0.82                   ,6.842464196408274    ,17.02127659574468      ,87.5              ,0.00123              ,93.75                    ,5.610820641054785            ,High
URBN      ,Urban Outfitters Inc.                                           ,Consumer Discretionary,Specialty Retail                                     ,US     ,NasdaqGS,0.47000000000000003    ,16.84240524365916    ,48.78048780487805      ,30.76923076923077 ,0.02896              ,63.5                     ,7.915930464519806            ,Low
CHDN      ,Churchill Downs Incorporated                                    ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,US     ,NasdaqGS,0.35                   ,57.44060959211116    ,19.9288256227758       ,100.0             ,-0.005055            ,93.75                    ,20.104213357238905           ,High
