ticker    ,name                                                                            ,sector                ,industry                                             ,country,exchange,last_price,pt_median  ,pt_spread          ,expected_upside_pct  ,upside_std         ,var_5_pct             ,prob_positive_upside,risk_reward_ratio
SPHR      ,Sphere Entertainment Co.                                                        ,Communication Services,Entertainment                                        ,US     ,NYSE    ,95.51     ,110.0      ,91.0               ,1.6451918493459732   ,20.142399846820204 ,-34.62327550738674    ,56.830000000000005  ,0.08167804540955395
ALKS      ,Alkermes plc                                                                    ,Health Care           ,Biotechnology                                        ,IE     ,NasdaqGS,33.89     ,44.5       ,28.0               ,30.404145221535337   ,16.86853372858049  ,2.0452036523768506    ,96.28999999999999   ,1.8024177863201798
SXT       ,Sensient Technologies Corporation                                               ,Materials             ,Chemicals                                            ,US     ,NYSE    ,94.52     ,120.0      ,10.0               ,26.955037911463727   ,2.161556561858582  ,23.325486125005707    ,100.0               ,12.470197813508449
FRPT      ,Freshpet Inc.                                                                   ,Consumer Staples      ,Food Products                                        ,US     ,NasdaqGM,69.7      ,71.0       ,45.0               ,8.902223791486486    ,13.266181733896248 ,-11.155901469394516   ,72.3                ,0.6710464224035564
ALSN      ,Allison Transmission Holdings Inc.                                              ,Industrials           ,Machinery                                            ,US     ,NYSE    ,108.7     ,113.5      ,63.0               ,10.640341098777222   ,12.003459131213203 ,-7.780356315845868    ,80.08               ,0.8864395656672504
ATMU      ,Atmus Filtration Technologies Inc.                                              ,Industrials           ,Machinery                                            ,US     ,NYSE    ,57.97     ,59.0       ,10.0               ,1.752696140198983    ,3.464445688668214  ,-4.081168962708379    ,68.47               ,0.5059095444710944
SPSC      ,SPS Commerce Inc.                                                               ,Information Technology,Software                                             ,US     ,NasdaqGS,89.26     ,100.0      ,45.0               ,13.985344009359926   ,10.258558708715714 ,-2.7807639566564473   ,90.75               ,1.3632854679164548
MG        ,Magna International Inc.                                                        ,Consumer Discretionary,Automobile Components                                ,CA     ,TSX     ,69.61     ,68.0215    ,25.422399999999996 ,5.334871409423606    ,7.973824567130734  ,-5.543737704057815    ,68.89999999999999   ,0.6690480038167284
HL        ,Hecla Mining Company                                                            ,Materials             ,Metals and Mining                                    ,US     ,NYSE    ,22.52     ,27.25      ,20.5               ,17.89943663689645    ,18.648519831207597 ,-14.04257374811689    ,81.37               ,0.9598314932717832
KRYS      ,Krystal Biotech Inc.                                                            ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,279.24    ,308.0      ,116.0              ,3.1013846610190665   ,8.858342637770143  ,-12.95372419713412    ,65.99000000000001   ,0.35010890725714344
