ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
LOW       ,Consumer Discretionary,United States and Canada   ,80.97142582497207 ,53.96096440872561   ,50.0            ,100.0              ,100.0       ,73.7                         ,B
DTM       ,Energy                ,United States and Canada   ,63.20754716981132 ,30.320512820512818  ,50.0            ,76.77539223781999  ,16.0        ,47.3                         ,D
GILD      ,Health Care           ,United States and Canada   ,80.65299776503741 ,46.01707684580612   ,50.0            ,61.25248570718369  ,40.0        ,56.9                         ,C
ADI       ,Information Technology,United States and Canada   ,75.13682170542634 ,44.467135381753366  ,50.0            ,91.1667787939052   ,84.0        ,66.2                         ,B
NOW       ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,92.91508126124532  ,0.0         ,61.4                         ,C
PFE       ,Health Care           ,United States and Canada   ,73.35273446079509 ,21.380589326189988  ,50.0            ,77.82289249806651  ,68.0        ,55.6                         ,C
BVB       ,Communication Services,Europe                     ,50.0              ,100.0               ,50.0            ,95.62164797659678  ,4.0         ,62.4                         ,C
SCCO      ,Materials             ,United States and Canada   ,69.85055485762143 ,30.212248795520637  ,50.0            ,76.44172712491323  ,8.0         ,47.7                         ,D
BSX       ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,83.00888700804062  ,0.0         ,60.0                         ,C
NVMI      ,Information Technology,Africa / Middle East       ,100.0             ,50.0                ,50.0            ,74.83927544402115  ,0.0         ,58.7                         ,C
SYK       ,Health Care           ,United States and Canada   ,87.53685865932769 ,64.2429022082019    ,50.0            ,73.78471425292632  ,68.0        ,69.2                         ,B
UNP       ,Industrials           ,United States and Canada   ,77.13881019830029 ,37.25526641883519   ,50.0            ,36.72368623824934  ,80.0        ,56.1                         ,C
DE        ,Industrials           ,United States and Canada   ,82.8923811418341  ,37.56976744186046   ,50.0            ,17.194088770971916 ,24.0        ,46.3                         ,D
HON       ,Industrials           ,United States and Canada   ,78.32627500913158 ,41.71912013536379   ,50.0            ,28.25091059291802  ,64.0        ,53.8                         ,C
PANW      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,98.34968263127524  ,0.0         ,62.3                         ,C
ADBE      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,80.93435429751355  ,4.0         ,60.2                         ,C
